,log_return,gtrend_pct_change,blockchain_diff_log_n_transactions,blockchain_diff_log_transaction_fee_usd,blockchain_diff_log_n_unique_addresses,blockchain_diff_log_transaction_volume_usd,log_volume,gold_close_ret,silver_close_ret,brent_close_ret,dji_close_ret,spx_close_ret,rut_close_ret,nasdaq_close_ret,usdcny_close_ret,usdeur_close_ret,gold_volume_chg,silver_volume_chg,brent_volume_chg,dji_volume_chg,spx_volume_chg,rut_volume_chg,nasdaq_volume_chg,vix_close_chg,hash-rate_chg,difficulty_chg,median-confirmation-time_chg,blockchain_log_mempool_count_chg
t-13,0.0,0.0,0.0,0.0003017704538403273,0.0007564407130614676,0.0,0.0,0.000439309883984478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002798465980379936,0.0,0.0,0.0,0.0003195524574568931,0.0,0.0,0.0,0.0,0.0,0.0,0.0022905019995499596
t-12,0.0,0.0,0.0,0.0,0.00044255987138841116,0.0,0.0,0.0007225772804950847,0.0,0.0,0.0002625600061380099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016734125180118385,0.0,0.00027720371250312763,0.0,0.0,0.0,0.000309220248844995,0.0,0.0,0.0009244028975471354
t-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016818082491820038,0.0005292748625682739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000915280945909063,0.0,0.0006312522021908535,0.0,0.0002380201126272541,0.0,0.0,0.0,0.0,0.0001934809294329427
t-10,0.0,0.0005623170985918069,0.0,0.0,0.0,0.0,0.0,0.00047210874456494204,0.0002642916582911697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007271821845339693,0.0027010805136596988,0.0,0.0023197475005345518,0.0,0.00040361257643725364,0.0,0.0,0.0,0.0,0.00015508881685084576
t-9,0.0,0.0002429969239477579,0.0,0.0,0.0,0.0,0.0,0.000513814809170912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003320146934007123,0.0004481935760802775,0.0016790598660119693,0.0,0.0027316723632816826,0.0,0.0,0.0,0.0,0.0,0.0,0.0001426333451719778
t-8,0.0,0.0006049110251566032,0.0,0.0,0.0010545696689833568,0.0004941905729959373,0.0,0.00014746985342914965,0.0,0.0,0.0004188455538289419,0.00014260610133915718,0.0,0.0003664224577670218,0.0,0.0,0.0,0.00038866915191397214,0.0027524748938681487,0.0,0.005606153969647416,0.0005896355348815477,0.0,0.0,0.00025660997031911,0.0,0.0,0.00023465129307004395
t-7,0.00021192494677576927,0.0011849342507689751,0.0,0.0,0.0020494242696646623,0.0011903645108743404,0.0,0.0,0.0008210644686363415,0.0004154339808561573,0.0,0.0,0.0,0.0,0.0003106911523078825,0.0,0.0,0.0004907536682301386,0.0014132061804078492,0.000455027746226652,0.008380466852928724,0.00038722309746622716,0.00029207831477528877,0.0,0.00023895534529329586,0.0,0.0,9.592557040884467e-05
t-6,0.0,0.0015879358379842661,9.036007507884414e-05,0.0,0.007010734196591976,0.005686574375407244,8.869514522345811e-05,0.0008262032859962387,0.0008401946694879819,0.0008492355889511087,0.0,0.0,0.0,0.0,0.00033418306740379505,0.0,0.0003962099525740459,0.0,0.0037283920297708985,0.00020867479191323914,0.009455378069146723,0.0,0.0,0.0,0.00018399983732923452,0.0005396313626092212,0.0,0.0001359920891595423
t-5,0.0,0.0010910579414658713,0.0016544388651619677,0.00015226933250344547,0.015900299193341804,0.010589408631215524,0.0003870362060599053,0.00039269393800710553,0.0004344588364255066,0.0013739845004287698,0.0,0.0,0.0,0.00043869649297805587,0.00036557823456936076,0.0,0.0,0.0002687133505000062,0.0022776382821362707,0.00042372611833680946,0.008916964127304559,0.00015590429372752527,0.0,0.0,0.0008570263561173305,0.0005484454392300562,0.0,0.0
t-4,0.00020361618892523656,0.0004877881524382417,0.0014549426238937388,0.0,0.030977684690157593,0.011946575731158952,0.00013309847839688028,0.0007631867083551791,0.0010720762073464247,0.0020813578381983226,0.0,0.00022592773944342767,0.0001525033787687632,0.0006940762413726237,0.0006425873262164552,0.0,0.0,0.0,0.004415899892230273,0.0007560242152028312,0.01098624730202482,0.00033866893238433427,0.0,0.00024967910832479807,0.0011934600432969308,0.0005630336435492972,0.0,0.0
