lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
20,64,0.1,32,GARCH,1,2,t,0.0008247088781629055,-6.443480330944571,523
20,64,0.1,32,GARCH,2,1,t,0.0008259181266740478,-6.4419125057791895,523
20,64,0.1,32,GARCH,2,2,t,0.0008197564883676301,-6.452460233535454,523
20,64,0.2,32,GARCH,1,1,t,0.0008424798090242444,-6.411483840598188,523
20,64,0.2,32,GARCH,1,2,t,0.0008222919291852323,-6.447826266870571,523
20,64,0.2,32,GARCH,2,1,t,0.000824037155291153,-6.446296068317832,523
20,64,0.2,32,GARCH,2,2,t,0.0008217677121185867,-6.4490666707140045,523
30,32,0.0,32,GARCH,1,1,t,0.0008543904941267737,-6.396633056873477,523
30,32,0.0,32,GARCH,1,2,t,0.0008236930490655417,-6.44381988629347,523
30,32,0.0,32,GARCH,2,1,t,0.000825130530899196,-6.442813891368774,523
30,32,0.0,32,GARCH,2,2,t,0.0008221615758553045,-6.446638577686269,523
30,32,0.01,32,GARCH,1,1,t,0.0008467397103331635,-6.4056858059814035,523
30,32,0.01,32,GARCH,1,2,t,0.0008246891425449649,-6.44449935565505,523
30,32,0.01,32,GARCH,2,1,t,0.000825513547194324,-6.443342345782125,523
30,32,0.01,32,GARCH,2,2,t,0.0008228460613042547,-6.446682842403238,523
30,32,0.1,32,GARCH,1,1,t,0.0008480089168820231,-6.403605307899928,523
30,32,0.1,32,GARCH,1,2,t,0.0008266920524047257,-6.440382056268335,523
30,32,0.1,32,GARCH,2,1,t,0.0008259656520407066,-6.441251676585133,523
30,32,0.1,32,GARCH,2,2,t,0.0008223599573606124,-6.448281025513027,523
30,32,0.2,32,GARCH,1,1,t,0.0008470822870818197,-6.405446087712126,523
30,32,0.2,32,GARCH,1,2,t,0.0008234518917219557,-6.443769625897321,523
30,32,0.2,32,GARCH,2,1,t,0.0008275500336431317,-6.436796983645419,523
30,32,0.2,32,GARCH,2,2,t,0.0008251874089454084,-6.442212246669456,523
30,64,0.0,32,GARCH,1,1,t,0.0008481565160663666,-6.405130115453785,523
30,64,0.0,32,GARCH,1,2,t,0.0008236483473998118,-6.444642205780647,523
30,64,0.0,32,GARCH,2,1,t,0.0008276840011099071,-6.4401023266866995,523
30,64,0.0,32,GARCH,2,2,t,0.0008219653517289573,-6.4477481044396265,523
30,64,0.01,32,GARCH,1,1,t,0.0008407254828454806,-6.412950838714639,523
30,64,0.01,32,GARCH,1,2,t,0.0008254801742252966,-6.439339729722302,523
30,64,0.01,32,GARCH,2,1,t,0.0008252172304355817,-6.442724600588523,523
30,64,0.01,32,GARCH,2,2,t,0.0008217325764478071,-6.446124865572218,523
30,64,0.1,32,GARCH,1,1,t,0.0008536435757110012,-6.396337531692093,523
30,64,0.1,32,GARCH,1,2,t,0.0008198446290861467,-6.4506563818729,523
30,64,0.1,32,GARCH,2,1,t,0.0008255612422405802,-6.443114619024525,523
30,64,0.1,32,GARCH,2,2,t,0.0008170817381858303,-6.457899032627786,523
30,64,0.2,32,GARCH,1,1,t,0.0008464566924230141,-6.407735465672211,523
30,64,0.2,32,GARCH,1,2,t,0.000821161589441582,-6.450620349837276,523
30,64,0.2,32,GARCH,2,1,t,0.0008302559517359661,-6.434986154584668,523
30,64,0.2,32,GARCH,2,2,t,0.0008257877076126312,-6.438618967431225,523
60,32,0.0,32,GARCH,1,1,t,0.000845466379533425,-6.405567604035185,523
60,32,0.0,32,GARCH,1,2,t,0.0008276552361335275,-6.439188963234209,523
60,32,0.0,32,GARCH,2,1,t,0.0008236092794439026,-6.446737221689045,523
60,32,0.0,32,GARCH,2,2,t,0.0008213934568640719,-6.45032101522966,523
60,32,0.01,32,GARCH,1,1,t,0.0008479037539839199,-6.4031521430887555,523
60,32,0.01,32,GARCH,1,2,t,0.0008247139468664695,-6.444684131656038,523
60,32,0.01,32,GARCH,2,1,t,0.000827153236014484,-6.439689812511411,523
60,32,0.01,32,GARCH,2,2,t,0.0008229769414106754,-6.447066535089016,523
60,32,0.1,32,GARCH,1,1,t,0.0008460535430229462,-6.406915737051767,523
60,32,0.1,32,GARCH,1,2,t,0.0008251030811936901,-6.441178133356827,523
60,32,0.1,32,GARCH,2,1,t,0.0008289040687728801,-6.436456985168581,523
60,32,0.1,32,GARCH,2,2,t,0.0008225738938608726,-6.449033688608397,523
60,32,0.2,32,GARCH,1,1,t,0.0008514684159222202,-6.399195891601067,523
60,32,0.2,32,GARCH,1,2,t,0.0008255877764044098,-6.441578702813673,523
60,32,0.2,32,GARCH,2,1,t,0.0008234495605395867,-6.447219913589975,523
60,32,0.2,32,GARCH,2,2,t,0.000823945608727154,-6.444083498715268,523
60,64,0.0,32,GARCH,1,1,t,0.0008426404381123275,-6.411233017523468,523
60,64,0.0,32,GARCH,1,2,t,0.0008230934671662412,-6.44540193528532,523
60,64,0.0,32,GARCH,2,1,t,0.0008272280806727373,-6.439307190495487,523
60,64,0.0,32,GARCH,2,2,t,0.0008192349057696617,-6.451773353386349,523
60,64,0.01,32,GARCH,1,1,t,0.0008404213759702077,-6.412668658066074,523
60,64,0.01,32,GARCH,1,2,t,0.0008217583756938414,-6.447139501783372,523
60,64,0.01,32,GARCH,2,1,t,0.0008222398115576401,-6.447543593140704,523
60,64,0.01,32,GARCH,2,2,t,0.0008224020567379966,-6.447590932862981,523
60,64,0.1,32,GARCH,1,1,t,0.0008446088087542045,-6.408039556328776,523
60,64,0.1,32,GARCH,1,2,t,0.0008236139809121964,-6.446639044850065,523
60,64,0.1,32,GARCH,2,1,t,0.0008227265808676919,-6.447431889175275,523
60,64,0.1,32,GARCH,2,2,t,0.0008197657241947185,-6.45149215845355,523
60,64,0.2,32,GARCH,1,1,t,0.0008468868790387381,-6.401940167288156,523
60,64,0.2,32,GARCH,1,2,t,0.0008221617923510235,-6.446909057643191,523
60,64,0.2,32,GARCH,2,1,t,0.0008262153016270506,-6.440838863870674,523
60,64,0.2,32,GARCH,2,2,t,0.0008163050250755529,-6.458667218704732,523
