lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
20,32,0.0,32,GARCH,1,1,t,0.0008445688965185924,-6.407441188503845,523
20,32,0.0,32,GARCH,1,2,t,0.0008237126641279284,-6.443987707750258,523
20,32,0.0,32,GARCH,2,1,t,0.0008263405405472832,-6.442556545304437,523
20,32,0.0,32,GARCH,2,2,t,0.0008227136085921195,-6.448322004684259,523
20,32,0.01,32,GARCH,1,1,t,0.0008408897096513991,-6.413531079659521,523
20,32,0.01,32,GARCH,1,2,t,0.0008232623923195569,-6.445481477944908,523
20,32,0.01,32,GARCH,2,1,t,0.0008257537720940405,-6.442678908455005,523
20,32,0.01,32,GARCH,2,2,t,0.0008224615999903105,-6.449145250761298,523
20,32,0.1,32,GARCH,1,1,t,0.0008425781989943547,-6.415239231058842,523
20,32,0.1,32,GARCH,1,2,t,0.0008245918931147954,-6.4418207644048096,523
20,32,0.1,32,GARCH,2,1,t,0.0008256445264014855,-6.43965294607726,523
20,32,0.1,32,GARCH,2,2,t,0.0008226944743152984,-6.447736161501251,523
20,32,0.2,32,GARCH,1,1,t,0.0008471586571375589,-6.405913759367459,523
20,32,0.2,32,GARCH,1,2,t,0.0008222330828181919,-6.44767934379788,523
20,32,0.2,32,GARCH,2,1,t,0.0008251806094608361,-6.44451678562803,523
20,32,0.2,32,GARCH,2,2,t,0.0008226836929454206,-6.4470759477135235,523
20,64,0.0,32,GARCH,1,1,t,0.0008395640391473966,-6.417387516843022,523
20,64,0.0,32,GARCH,1,2,t,0.0008270861791733002,-6.440134174853779,523
20,64,0.0,32,GARCH,2,1,t,0.0008260095878703575,-6.44241565012536,523
20,64,0.0,32,GARCH,2,2,t,0.000819600800308268,-6.453903555220908,523
20,64,0.01,32,GARCH,1,1,t,0.000839643702079972,-6.418229574549039,523
20,64,0.01,32,GARCH,1,2,t,0.0008258518083069296,-6.442232528682414,523
20,64,0.01,32,GARCH,2,1,t,0.0008257301379552811,-6.44173065845389,523
20,64,0.01,32,GARCH,2,2,t,0.0008208509862289322,-6.44940026861568,523
20,64,0.1,32,GARCH,1,1,t,0.0008440140267947799,-6.410177606202273,523
