lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
30,32,0.2,32,Garch,1,1,t,0.0010168748028295343,-6.0466762813775,523
30,32,0.2,32,Garch,1,2,t,0.0010104022628284028,-6.219911327015931,523
30,32,0.2,32,Garch,2,1,t,0.0010679872583556954,-6.204552950457612,523
30,32,0.2,32,Garch,2,2,t,0.0010247905380267684,-6.245651408385198,523
30,64,0.0,32,Garch,1,1,t,0.0009625017384932954,-5.986852766228922,523
30,64,0.0,32,Garch,1,2,t,0.0009905643094544438,-5.956480028964401,523
30,64,0.0,32,Garch,2,1,t,0.0010332913558642799,-6.09841455355451,523
30,64,0.0,32,Garch,2,2,t,0.0009569453870692328,-5.961009402490379,523
30,64,0.01,32,Garch,1,1,t,0.0009918529971431772,-5.9305494104450505,523
30,64,0.01,32,Garch,1,2,t,0.0009862770758109318,-6.196309260232577,523
30,64,0.01,32,Garch,2,1,t,0.0009926657465054985,-5.89413729636484,523
30,64,0.01,32,Garch,2,2,t,0.0009827356631013171,-6.1126583955334945,523
30,64,0.1,32,Garch,1,1,t,0.0009809762508848948,-5.8437599596696,523
30,64,0.1,32,Garch,1,2,t,0.0009683228733119378,-5.9366494704758885,523
30,64,0.1,32,Garch,2,1,t,0.0010298893064099913,-6.157414036784756,523
30,64,0.1,32,Garch,2,2,t,0.0009845921758493818,-6.065670648991654,523
30,64,0.2,32,Garch,1,1,t,0.001037348509488223,-6.20186287849387,523
30,64,0.2,32,Garch,1,2,t,0.0009783955173109685,-6.056351747452381,523
30,64,0.2,32,Garch,2,1,t,0.0010427012432169813,-6.185672186978279,523
30,64,0.2,32,Garch,2,2,t,0.0010053914663675672,-6.108216469058594,523
60,32,0.0,32,Garch,1,1,t,0.0010046448466406793,-6.02753992305297,523
60,32,0.0,32,Garch,1,2,t,0.001021012106001611,-6.196384993927621,523
60,32,0.0,32,Garch,2,1,t,0.0010271141077237565,-6.092999873519087,523
60,32,0.0,32,Garch,2,2,t,0.0009833556388953,-6.182350306267411,523
60,32,0.01,32,Garch,1,1,t,0.0010289703205073762,-6.198244984413515,523
60,32,0.01,32,Garch,1,2,t,0.0009990727375986926,-6.243670065700659,523
60,32,0.01,32,Garch,2,1,t,0.0010336736023036613,-6.1600236322149895,523
60,32,0.01,32,Garch,2,2,t,0.0010348167196855018,-6.083735669270172,523
60,32,0.1,32,Garch,1,1,t,0.0010486187759524432,-6.175202363765399,523
60,32,0.1,32,Garch,1,2,t,0.0009999465859360146,-6.074592941281052,523
60,32,0.1,32,Garch,2,1,t,0.001071608450934063,-6.155769245281838,523
60,32,0.1,32,Garch,2,2,t,0.0010412125792623203,-6.243427911407569,523
60,32,0.2,32,Garch,1,1,t,0.0010695411528476905,-6.212378598553189,523
60,32,0.2,32,Garch,1,2,t,0.0010310437432232253,-6.21673228604057,523
60,32,0.2,32,Garch,2,1,t,0.0010370634661246575,-6.197804855260177,523
60,32,0.2,32,Garch,2,2,t,0.0010263778888957968,-6.227545975570299,523
60,64,0.0,32,Garch,1,1,t,0.0010178943230339257,-6.135163125944312,523
60,64,0.0,32,Garch,1,2,t,0.0009788439606069471,-5.984909331812613,523
60,64,0.0,32,Garch,2,1,t,0.0010373683390764385,-6.171943821567609,523
60,64,0.0,32,Garch,2,2,t,0.0009936700345515382,-6.122344015222031,523
