date,forecast_origin_date,actual_log_var,pred_regime,pred_prob_0,pred_prob_1,log_var_svr,error
2024-10-20,2024-10-19,-9.31484470203024,0.0,0.9970361,0.0029638754,-8.240927664482086,-1.0739170375481528
2024-10-21,2024-10-20,-7.873473101235765,0.0,0.6690857,0.3309143,-7.783885337068691,-0.08958776416707437
2024-10-22,2024-10-21,-8.046507358473745,1.0,0.00030655274,0.9996935,-7.284554747666064,-0.7619526108076808
2024-10-23,2024-10-22,-8.161787423041437,1.0,0.0002531332,0.99974686,-7.645655361528053,-0.5161320615133835
2024-10-24,2024-10-23,-7.997674549656699,1.0,2.9720818e-06,0.999997,-7.633365367193458,-0.3643091824632405
2024-10-25,2024-10-24,-7.679053012926394,1.0,2.8656608e-08,1.0,-7.406667909303211,-0.2723851036231828
2024-10-26,2024-10-25,-9.827358818094583,1.0,0.0010166285,0.9989833,-7.661526984181817,-2.1658318339127653
2024-10-27,2024-10-26,-9.27737910553637,0.0,0.9329478,0.0670522,-8.478108539081784,-0.7992705664545863
2024-10-28,2024-10-27,-8.498659814223364,1.0,1.5394267e-05,0.9999846,-7.327578070056516,-1.1710817441668482
2024-10-29,2024-10-28,-7.399875840216145,1.0,6.513174e-06,0.99999344,-7.784272150260392,0.3843963100442469
2024-10-30,2024-10-29,-7.708331085877311,1.0,2.1956241e-08,1.0,-7.39328072097813,-0.3150503648991805
2024-10-31,2024-10-30,-7.664318249363356,1.0,9.6163734e-05,0.9999038,-7.5197253128724695,-0.1445929364908869
2024-11-01,2024-10-31,-6.666464947076679,1.0,6.680516e-07,0.9999993,-6.974082700235519,0.30761775315883977
2024-11-02,2024-11-01,-9.875369409182522,0.0,0.6426259,0.3573741,-8.146165436623498,-1.7292039725590236
2024-11-03,2024-11-02,-7.66475466133589,0.0,0.99772626,0.0022737528,-8.706805748745568,1.0420510874096776
2024-11-04,2024-11-03,-7.386133207392613,1.0,4.376917e-05,0.99995625,-7.231372359198761,-0.1547608481938525
2024-11-05,2024-11-04,-6.986185934823602,1.0,2.719431e-09,1.0,-7.375822634040427,0.3896366992168243
2024-11-06,2024-11-05,-6.076503738850753,1.0,4.3705934e-16,1.0,-8.080475224552696,2.0039714857019435
2024-11-07,2024-11-06,-7.522779705074414,1.0,4.478483e-12,1.0,-6.110439151131316,-1.412340553943098
2024-11-08,2024-11-07,-7.801772876712086,1.0,6.5153155e-10,1.0,-7.918959409253356,0.11718653254126998
2024-11-09,2024-11-08,-9.797912735378048,1.0,0.00028709622,0.9997129,-7.399751612196166,-2.3981611231818825
2024-11-10,2024-11-09,-6.737021210697639,1.0,0.0046556666,0.99534434,-7.725155838353645,0.9881346276560059
2024-11-11,2024-11-10,-6.735612458201719,1.0,3.6185747e-07,0.99999964,-7.3989295122519305,0.6633170540502116
2024-11-12,2024-11-11,-6.273470829109263,1.0,3.2290907e-05,0.9999677,-7.793594812679694,1.5201239835704312
2024-11-13,2024-11-12,-5.917831781066736,1.0,0.15317054,0.8468295,-7.231501483059454,1.3136697019927182
2024-11-14,2024-11-13,-6.279067875923911,1.0,0.002330597,0.9976694,-7.306526648670129,1.0274587727462183
2024-11-15,2024-11-14,-6.8553175590212,1.0,0.008931731,0.99106824,-7.251437248721024,0.39611968969982403
2024-11-16,2024-11-15,-8.483224897189656,0.0,0.999388,0.0006119926,-7.740206828177409,-0.7430180690122468
2024-11-17,2024-11-16,-7.986052347505467,0.0,0.999326,0.0006740238,-8.149058667310973,0.16300631980550584
2024-11-18,2024-11-17,-6.313933799544504,0.0,0.99680823,0.0031917715,-7.894135895482211,1.5802020959377074
2024-11-19,2024-11-18,-7.196192526153115,0.0,0.9997013,0.00029865152,-7.519198949583337,0.3230064234302219
2024-11-20,2024-11-19,-8.156865979818138,0.0,0.99984133,0.00015866118,-7.652031972024796,-0.5048340077933418
2024-11-21,2024-11-20,-7.040437674924414,0.0,0.9996604,0.00033965165,-7.652141296990558,0.6117036220661438
2024-11-22,2024-11-21,-7.559046450236287,0.0,0.9991246,0.0008753922,-7.358047320738425,-0.2009991294978617
2024-11-23,2024-11-22,-8.916806285442396,0.0,0.999997,3.0052668e-06,-7.5442017802129255,-1.3726045052294706
2024-11-24,2024-11-23,-7.587764741646918,0.0,0.9999474,5.254348e-05,-7.736043510999509,0.14827876935259088
2024-11-25,2024-11-24,-6.730684739886714,0.0,0.9999399,6.0078808e-05,-7.790083600483645,1.0593988605969313
2024-11-26,2024-11-25,-6.616457190447188,0.0,0.9884144,0.011585549,-7.521910671908955,0.905453481461767
2024-11-27,2024-11-26,-7.685046984089861,0.0,0.99967194,0.000328085,-7.435384789480681,-0.24966219460918015
2024-11-28,2024-11-27,-8.136518916342414,0.0,0.9570489,0.04295114,-7.588022667380282,-0.5484962489621319
2024-11-29,2024-11-28,-7.768375437620337,0.0,0.99807405,0.0019259554,-7.557783803888957,-0.21059163373138023
2024-11-30,2024-11-29,-8.542730029426364,0.0,0.99054724,0.009452732,-7.1241511119065875,-1.4185789175197767
2024-12-01,2024-11-30,-8.44716475464655,0.0,0.98843515,0.01156483,-7.797258187349317,-0.6499065672972337
2024-12-02,2024-12-01,-6.838616206811213,0.0,0.99574524,0.004254726,-7.588014507434843,0.7493983006236302
2024-12-03,2024-12-02,-7.216757398881999,0.0,0.9958852,0.004114743,-7.488620469452148,0.27186307057014947
2024-12-04,2024-12-03,-6.986945786320486,0.0,0.8361653,0.16383465,-7.296532080028985,0.30958629370849966
2024-12-05,2024-12-04,-5.927662017422849,0.0,0.7473082,0.25269172,-7.653973371276971,1.726311353854122
2024-12-06,2024-12-05,-7.050258669563131,1.0,0.00023512305,0.99976486,-5.66819073920713,-1.3820679303560004
2024-12-07,2024-12-06,-8.608280322002438,0.0,0.9898762,0.010123738,-7.440850148568606,-1.1674301734338322
2024-12-08,2024-12-07,-8.072488900461895,0.0,0.9998479,0.00015214339,-7.643994758157641,-0.4284941423042543
2024-12-09,2024-12-08,-6.54258376213653,0.0,0.9995647,0.00043526234,-7.475290330682783,0.9327065685462523
2024-12-10,2024-12-09,-6.556886875110395,1.0,0.0001762386,0.99982375,-6.722727496967686,0.16584062185729032
2024-12-11,2024-12-10,-7.239827666844698,1.0,0.00026519466,0.9997348,-7.190026896941308,-0.04980076990338933
2024-12-12,2024-12-11,-7.1621144016144465,1.0,1.3523877e-06,0.9999987,-7.253056342240343,0.09094194062589622
2024-12-13,2024-12-12,-7.538970091501297,1.0,8.193902e-05,0.9999181,-6.541650450466225,-0.9973196410350722
2024-12-14,2024-12-13,-8.384657162464817,0.0,0.9986364,0.0013636,-7.216816211366372,-1.1678409510984453
2024-12-15,2024-12-14,-8.014688118812776,0.0,0.99999225,7.747776e-06,-7.823553242860188,-0.1911348759525877
2024-12-16,2024-12-15,-7.236201991624658,1.0,0.17279477,0.82720524,-7.131648046690799,-0.10455394493385928
2024-12-17,2024-12-16,-7.292001310461847,1.0,2.2599851e-13,1.0,-6.818555382537625,-0.4734459279242227
2024-12-18,2024-12-17,-6.704567098310052,1.0,9.9899315e-09,1.0,-7.1731258866794105,0.46855878836935894
2024-12-19,2024-12-18,-6.459120288586987,1.0,5.624874e-06,0.9999944,-7.108968630072494,0.649848341485507
2024-12-20,2024-12-19,-6.1361042206094965,1.0,1.048703e-11,1.0,-6.629253680118476,0.49314945950897915
2024-12-21,2024-12-20,-7.7744650577961645,1.0,0.00014647373,0.9998535,-6.96474666688296,-0.8097183909132042
2024-12-22,2024-12-21,-7.173190406730881,0.0,0.5624275,0.4375725,-7.347091973811709,0.17390156708082838
2024-12-23,2024-12-22,-6.679392190342277,1.0,7.554763e-08,0.9999999,-6.93061945967907,0.25122726933679296
2024-12-24,2024-12-23,-6.806880052770344,1.0,5.317146e-06,0.99999464,-6.59739434796626,-0.20948570480408435
2024-12-25,2024-12-24,-8.388613500350928,1.0,0.0076818923,0.99231815,-6.9937855889885885,-1.3948279113623396
2024-12-26,2024-12-25,-7.291376464377446,1.0,0.01960546,0.9803946,-6.958537303486037,-0.3328391608914094
2024-12-27,2024-12-26,-7.235484363898412,1.0,0.2043667,0.7956333,-7.138053376630073,-0.09743098726833921
2024-12-28,2024-12-27,-9.647303170681537,0.0,0.97325766,0.026742293,-7.203477214735385,-2.443825955946152
2024-12-29,2024-12-28,-8.662492268950343,0.0,0.9998053,0.00019477247,-7.960108489276338,-0.7023837796740056
2024-12-30,2024-12-29,-6.575410065716856,0.0,0.9979672,0.0020327554,-7.227344336165553,0.651934270448697
2024-12-31,2024-12-30,-7.632818399836694,1.0,0.00702737,0.9929726,-6.773027131904589,-0.8597912679321045
2025-01-01,2024-12-31,-8.1728798995656,1.0,0.008576971,0.9914231,-7.386824401715094,-0.7860554978505068
2025-01-02,2025-01-01,-7.634987296790435,1.0,0.2551383,0.7448617,-6.82801765470362,-0.8069696420868144
2025-01-03,2025-01-02,-8.696539431723991,1.0,0.029662373,0.9703377,-7.136596803029842,-1.5599426286941496
2025-01-04,2025-01-03,-9.171557411636146,0.0,0.99578613,0.0042138225,-7.914491411411008,-1.2570660002251373
2025-01-05,2025-01-04,-9.467809077681563,0.0,0.9996854,0.0003146233,-7.69091763563823,-1.7768914420433335
2025-01-06,2025-01-05,-7.52715911165198,0.0,0.9998443,0.00015571636,-7.797001371270808,0.26984225961882746
2025-01-07,2025-01-06,-7.313187566380257,1.0,1.2175224e-05,0.99998784,-7.359554727785095,0.04636716140483799
2025-01-08,2025-01-07,-7.343520093101871,1.0,2.1241156e-06,0.99999785,-6.816500441770006,-0.527019651331865
2025-01-09,2025-01-08,-6.700926329438809,1.0,5.800418e-09,1.0,-7.4288751243021895,0.7279487948633809
2025-01-10,2025-01-09,-6.832337297096955,1.0,9.375068e-12,1.0,-7.093881943443302,0.2615446463463469
2025-01-11,2025-01-10,-9.16312570058207,1.0,2.8376304e-10,1.0,-7.010637296300082,-2.1524884042819874
2025-01-12,2025-01-11,-8.885182290999587,1.0,1.0587339e-05,0.9999894,-7.577427673638715,-1.3077546173608727
2025-01-13,2025-01-12,-6.878707620288706,1.0,0.000100151934,0.99989986,-7.095370605440987,0.216662985152281
2025-01-14,2025-01-13,-7.412287032964815,1.0,0.0011322028,0.99886787,-7.34740127459066,-0.06488575837415489
2025-01-15,2025-01-14,-7.1493601415864205,1.0,0.023226192,0.97677386,-7.294561831554817,0.14520168996839633
2025-01-16,2025-01-15,-7.103753580416022,1.0,0.0019999212,0.9980001,-7.522174224518133,0.41842064410211055
2025-01-17,2025-01-16,-6.94581212746871,1.0,0.372042,0.627958,-7.333198378611685,0.3873862511429751
2025-01-18,2025-01-17,-7.367795927137095,1.0,0.39912942,0.6008706,-7.258090694247375,-0.1097052328897199
2025-01-19,2025-01-18,-6.522372823536299,0.0,0.5711362,0.42886385,-7.812770188156922,1.2903973646206222
2025-01-20,2025-01-19,-5.1280705350160884,1.0,0.001594612,0.9984054,-6.867645582480541,1.7395750474644522
2025-01-21,2025-01-20,-6.725785537124217,1.0,5.4416655e-06,0.9999945,-6.709205049103221,-0.01658048802099632
2025-01-22,2025-01-21,-7.974673031461986,0.0,0.59965694,0.40034306,-7.502738092878071,-0.47193493858391466
2025-01-23,2025-01-22,-6.587354861517407,0.0,0.9622553,0.037744664,-7.345190097846444,0.7578352363290373
2025-01-24,2025-01-23,-7.651656682385547,1.0,0.00342832,0.99657166,-6.9652676571781,-0.6863890252074469
2025-01-25,2025-01-24,-8.858603923738858,0.0,0.99964404,0.00035591752,-7.533400658586462,-1.3252032651523962
2025-01-26,2025-01-25,-7.957754761816732,0.0,0.9996445,0.00035545268,-7.8954694820660265,-0.06228527975070541
2025-01-27,2025-01-26,-6.349061457034485,0.0,0.9870285,0.012971528,-7.397943634866671,1.0488821778321862
2025-01-28,2025-01-27,-7.5627213249395355,0.0,0.99996495,3.507359e-05,-6.98308134778143,-0.5796399771581058
2025-01-29,2025-01-28,-8.23476725879742,0.0,0.9859964,0.014003627,-7.83661381399447,-0.3981534448029507
2025-01-30,2025-01-29,-8.079741061070353,0.0,0.999042,0.0009579613,-7.442001627263748,-0.6377394338066047
2025-01-31,2025-01-30,-7.304415552516962,0.0,0.9808379,0.019162126,-7.466110173069063,0.16169462055210104
2025-02-01,2025-01-31,-8.797811136674646,0.0,0.9561855,0.043814432,-7.0228181785835595,-1.7749929580910866
2025-02-02,2025-02-01,-6.8104147883884405,0.0,0.91668063,0.08331938,-7.58702131108568,0.7766065226972394
2025-02-03,2025-02-02,-5.615577100902469,0.0,0.9707616,0.02923846,-7.112608540873517,1.4970314399710487
2025-02-04,2025-02-03,-6.702523283688939,1.0,0.24203128,0.7579687,-7.362672791728821,0.6601495080398818
2025-02-05,2025-02-04,-7.951543485352089,1.0,0.13778354,0.8622164,-7.389858420477589,-0.5616850648745002
2025-02-06,2025-02-05,-7.710560531660843,0.0,0.79276127,0.20723872,-7.160778110231731,-0.5497824214291125
2025-02-07,2025-02-06,-7.060549595230205,1.0,0.49580956,0.50419044,-7.582942262630418,0.5223926674002133
2025-02-08,2025-02-07,-9.23855954949455,0.0,0.9504005,0.049599566,-7.012168350474783,-2.2263911990197665
2025-02-09,2025-02-08,-7.829000615696909,0.0,0.81755775,0.18244223,-7.749481870107109,-0.07951874558979988
2025-02-10,2025-02-09,-7.658232305453152,1.0,0.02077082,0.9792292,-6.973111900500839,-0.685120404952313
2025-02-11,2025-02-10,-7.550045805187608,1.0,0.0017933113,0.99820673,-7.155347773589232,-0.39469803159837635
2025-02-12,2025-02-11,-7.5434319510193575,1.0,0.026152277,0.9738477,-7.25558446410377,-0.28784748691558715
2025-02-13,2025-02-12,-8.165089627577647,1.0,0.007164033,0.99283594,-7.131776515362343,-1.0333131122153034
2025-02-14,2025-02-13,-7.889337572353864,0.0,0.92202103,0.07797901,-7.431099011483482,-0.45823856087038184
2025-02-15,2025-02-14,-10.185734577946551,0.0,0.9961343,0.003865774,-7.05536277946151,-3.130371798485041
2025-02-16,2025-02-15,-8.97115841664767,0.0,0.9236169,0.07638312,-7.654050921356397,-1.317107495291273
