lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
20,32,0.0,32,Garch,1,1,t,0.0008449310837975324,-6.408809154485628,523
20,32,0.0,32,Garch,1,2,t,0.000825583463340492,-6.442672997592025,523
20,32,0.0,32,Garch,2,1,t,0.0008266636404214831,-6.441880624132355,523
20,32,0.0,32,Garch,2,2,t,0.0008240347443073331,-6.4460567173235015,523
20,32,0.01,32,Garch,1,1,t,0.0008513034410245483,-6.4014166782528354,523
20,32,0.01,32,Garch,1,2,t,0.0008317485080607874,-6.433327586678992,523
20,32,0.01,32,Garch,2,1,t,0.0008292605328355624,-6.436437572065126,523
20,32,0.01,32,Garch,2,2,t,0.0008234118225673212,-6.4472977998774965,523
20,32,0.1,32,Garch,1,1,t,0.00085199194924557,-6.4023301358089295,523
20,32,0.1,32,Garch,1,2,t,0.0008298086610855362,-6.43574718819553,523
20,32,0.1,32,Garch,2,1,t,0.0008249593840747709,-6.443690704719546,523
20,32,0.1,32,Garch,2,2,t,0.0008232376640712481,-6.44578387308772,523
20,32,0.2,32,Garch,1,1,t,0.0008514533669765695,-6.400041459456731,523
20,32,0.2,32,Garch,1,2,t,0.0008283377922365894,-6.437872439541595,523
20,32,0.2,32,Garch,2,1,t,0.0008330714249629375,-6.428981973970792,523
20,32,0.2,32,Garch,2,2,t,0.0008242034172681838,-6.446105938168203,523
20,64,0.0,32,Garch,1,1,t,0.0008649991755687898,-6.381949691096016,523
20,64,0.0,32,Garch,1,2,t,0.0008238823247757579,-6.446642335624486,523
20,64,0.0,32,Garch,2,1,t,0.0008264115466387277,-6.44076813226197,523
20,64,0.0,32,Garch,2,2,t,0.0008268637840000594,-6.439706719755765,523
20,64,0.01,32,Garch,1,1,t,0.000845061759013857,-6.408414005504573,523
20,64,0.01,32,Garch,1,2,t,0.0008225920191149702,-6.447198682087855,523
20,64,0.01,32,Garch,2,1,t,0.000827298741491402,-6.439985696033167,523
20,64,0.01,32,Garch,2,2,t,0.0008185520655959559,-6.456773195240896,523
20,64,0.1,32,Garch,1,1,t,0.0008544663362845057,-6.397603200385822,523
20,64,0.1,32,Garch,1,2,t,0.0008269244014358176,-6.440183174319475,523
20,64,0.1,32,Garch,2,1,t,0.000831426430838765,-6.43392914065134,523
20,64,0.1,32,Garch,2,2,t,0.0008230047317759541,-6.445093001289262,523
20,64,0.2,32,Garch,1,1,t,0.0008493213867729028,-6.4041267678059315,523
20,64,0.2,32,Garch,1,2,t,0.0008252948184445654,-6.44278169450562,523
20,64,0.2,32,Garch,2,1,t,0.0008286707309808173,-6.436117684169189,523
20,64,0.2,32,Garch,2,2,t,0.0008248440459680766,-6.442866225659998,523
30,32,0.0,32,Garch,1,1,t,0.0008545816187303465,-6.39623730094693,523
30,32,0.0,32,Garch,1,2,t,0.0008283542825174098,-6.436654211435449,523
30,32,0.0,32,Garch,2,1,t,0.0008283346795077596,-6.438838321643623,523
30,32,0.0,32,Garch,2,2,t,0.0008249597671194789,-6.442069012357891,523
30,32,0.01,32,Garch,1,1,t,0.0008490023941489838,-6.405840841161868,523
30,32,0.01,32,Garch,1,2,t,0.0008278076962288715,-6.437648286876636,523
30,32,0.01,32,Garch,2,1,t,0.0008255619748576686,-6.442997264968105,523
30,32,0.01,32,Garch,2,2,t,0.0008219310708748363,-6.449118252734246,523
30,32,0.1,32,Garch,1,1,t,0.0008431052889772677,-6.411232316453614,523
30,32,0.1,32,Garch,1,2,t,0.0008282417569203672,-6.435721740682411,523
30,32,0.1,32,Garch,2,1,t,0.000829684390223448,-6.436631350658264,523
30,32,0.1,32,Garch,2,2,t,0.000826124596738698,-6.4414641220552395,523
30,32,0.2,32,Garch,1,1,t,0.0008526634100503578,-6.399037958612754,523
30,32,0.2,32,Garch,1,2,t,0.0008282814161417676,-6.440165419411889,523
30,32,0.2,32,Garch,2,1,t,0.0008275571425950146,-6.440255088125127,523
30,32,0.2,32,Garch,2,2,t,0.000826220211490907,-6.443941329455633,523
30,64,0.0,32,Garch,1,1,t,0.0008462439531393033,-6.406613184014776,523
30,64,0.0,32,Garch,1,2,t,0.0008251276681726482,-6.443178998739906,523
