date,forecast_origin_date,actual_log_var,pred_regime,pred_prob_0,pred_prob_1,log_var_svr,error
2024-10-20,2024-10-19,-9.31484470203024,1.0,0.20094228,0.7990577,-7.8068238403252925,-1.5080208617049466
2024-10-21,2024-10-20,-7.873473101235765,1.0,0.018896323,0.98110366,-7.336224660490046,-0.537248440745719
2024-10-22,2024-10-21,-8.046507358473745,1.0,1.4770464e-09,1.0,-7.3778940692494155,-0.6686132892243295
2024-10-23,2024-10-22,-8.161787423041437,1.0,0.17066582,0.82933414,-7.749011809791161,-0.41277561325027623
2024-10-24,2024-10-23,-7.997674549656699,0.0,0.9999993,7.207959e-07,-8.599399430795692,0.6017248811389937
2024-10-25,2024-10-24,-7.679053012926394,0.0,0.999014,0.0009859143,-8.600144247916433,0.9210912349900386
2024-10-26,2024-10-25,-9.827358818094583,0.0,0.55051965,0.44948035,-8.117600965303073,-1.70975785279151
2024-10-27,2024-10-26,-9.27737910553637,0.0,0.9999999,8.286293e-08,-8.725074194376933,-0.5523049111594371
2024-10-28,2024-10-27,-8.498659814223364,0.0,1.0,1.2319571e-09,-8.455040851903599,-0.043618962319765586
2024-10-29,2024-10-28,-7.399875840216145,0.0,0.9999963,3.674711e-06,-8.586866493200395,1.1869906529842496
2024-10-30,2024-10-29,-7.708331085877311,1.0,0.039569393,0.96043056,-7.5630858779857935,-0.1452452078915174
2024-10-31,2024-10-30,-7.664318249363356,0.0,0.9570236,0.042976376,-8.681815238674833,1.0174969893114767
2024-11-01,2024-10-31,-6.666464947076679,0.0,0.99242884,0.007571141,-8.64557125816548,1.9791063110888016
2024-11-02,2024-11-01,-9.875369409182522,0.0,0.9991698,0.00083021,-8.606285938931393,-1.2690834702511289
2024-11-03,2024-11-02,-7.66475466133589,0.0,1.0,1.6784258e-08,-8.894418553647824,1.229663892311934
2024-11-04,2024-11-03,-7.386133207392613,1.0,4.633332e-05,0.9999536,-7.3725464693943685,-0.013586737998244836
2024-11-05,2024-11-04,-6.986185934823602,1.0,4.181039e-10,1.0,-7.610094857620633,0.6239089227970309
2024-11-06,2024-11-05,-6.076503738850753,1.0,2.5132077e-12,1.0,-7.610280496580748,1.5337767577299948
2024-11-07,2024-11-06,-7.522779705074414,1.0,9.321782e-10,1.0,-7.520619021293202,-0.002160683781212036
2024-11-08,2024-11-07,-7.801772876712086,0.0,0.9999342,6.577382e-05,-8.712341314289253,0.910568437577167
2024-11-09,2024-11-08,-9.797912735378048,0.0,0.9999999,6.98816e-08,-8.525208607232273,-1.2727041281457758
2024-11-10,2024-11-09,-6.737021210697639,0.0,0.99505025,0.004949778,-8.631094232843854,1.8940730221462143
2024-11-11,2024-11-10,-6.735612458201719,0.0,0.9999715,2.8496655e-05,-8.329098809090064,1.5934863508883454
2024-11-12,2024-11-11,-6.273470829109263,0.0,0.5051363,0.49486366,-8.113417573606416,1.8399467444971531
2024-11-13,2024-11-12,-5.917831781066736,0.0,0.9635535,0.036446515,-8.44460027415875,2.526768493092014
2024-11-14,2024-11-13,-6.279067875923911,1.0,7.5708704e-06,0.9999924,-7.432710616004917,1.1536427400810059
2024-11-15,2024-11-14,-6.8553175590212,1.0,1.77555e-07,0.9999999,-7.4609863242043915,0.6056687651831911
2024-11-16,2024-11-15,-8.483224897189656,0.0,0.6039103,0.39608967,-7.986608079421742,-0.4966168177679142
2024-11-17,2024-11-16,-7.986052347505467,1.0,0.00832454,0.9916754,-7.38481324363367,-0.601239103871797
2024-11-18,2024-11-17,-6.313933799544504,1.0,0.015651243,0.9843487,-7.244176019446904,0.9302422199024001
2024-11-19,2024-11-18,-7.196192526153115,0.0,0.9990081,0.0009919396,-8.208455061632314,1.0122625354791994
2024-11-20,2024-11-19,-8.156865979818138,0.0,0.85069716,0.14930283,-8.156167109767305,-0.0006988700508330226
2024-11-21,2024-11-20,-7.040437674924414,0.0,0.9862407,0.013759393,-8.204515068219804,1.1640773932953898
2024-11-22,2024-11-21,-7.559046450236287,1.0,0.059094835,0.94090515,-7.088417852797052,-0.4706285974392346
2024-11-23,2024-11-22,-8.916806285442396,0.0,0.99969196,0.00030808625,-8.224522121017667,-0.6922841644247288
2024-11-24,2024-11-23,-7.587764741646918,0.0,0.9939433,0.0060566664,-8.183612734275018,0.5958479926280997
2024-11-25,2024-11-24,-6.730684739886714,1.0,4.34648e-06,0.9999957,-7.012567983246402,0.2818832433596885
2024-11-26,2024-11-25,-6.616457190447188,1.0,3.311098e-17,1.0,-7.049776089312068,0.4333188988648793
2024-11-27,2024-11-26,-7.685046984089861,1.0,1.568234e-17,1.0,-6.978755092099047,-0.7062918919908139
2024-11-28,2024-11-27,-8.136518916342414,1.0,2.450874e-18,1.0,-6.987426423171309,-1.1490924931711053
2024-11-29,2024-11-28,-7.768375437620337,1.0,7.821078e-10,1.0,-6.965542973698272,-0.8028324639220648
2024-11-30,2024-11-29,-8.542730029426364,0.0,0.9505549,0.04944515,-7.943029552132699,-0.5997004772936654
2024-12-01,2024-11-30,-8.44716475464655,1.0,1.8734416e-07,0.99999976,-7.011907008674919,-1.4352577459716311
2024-12-02,2024-12-01,-6.838616206811213,1.0,0.06524258,0.93475735,-7.044661983070988,0.20604577625977516
2024-12-03,2024-12-02,-7.216757398881999,1.0,0.07223535,0.9277647,-6.934929638389595,-0.281827760492404
2024-12-04,2024-12-03,-6.986945786320486,1.0,1.3979068e-08,1.0,-7.003307324916712,0.016361538596226133
2024-12-05,2024-12-04,-5.927662017422849,0.0,0.9773152,0.022684814,-7.934483160133905,2.0068211427110567
2024-12-06,2024-12-05,-7.050258669563131,0.0,0.9994221,0.00057800836,-7.957643376228694,0.9073847066655638
2024-12-07,2024-12-06,-8.608280322002438,0.0,0.99926776,0.00073229504,-8.097243586716171,-0.5110367352862664
2024-12-08,2024-12-07,-8.072488900461895,0.0,1.0,2.3503602e-11,-8.068504533101349,-0.003984367360546415
2024-12-09,2024-12-08,-6.54258376213653,0.0,0.99999976,2.4357112e-07,-7.9895942462016,1.4470104840650695
2024-12-10,2024-12-09,-6.556886875110395,1.0,1.1705494e-06,0.9999988,-6.82772476370463,0.27083788859423485
2024-12-11,2024-12-10,-7.239827666844698,1.0,0.00036134676,0.9996387,-6.90149040134896,-0.3383372654957375
2024-12-12,2024-12-11,-7.1621144016144465,1.0,6.220937e-07,0.9999994,-6.921738557312796,-0.24037584430165015
2024-12-13,2024-12-12,-7.538970091501297,0.0,0.98078156,0.019218424,-7.918514354282749,0.3795442627814518
2024-12-14,2024-12-13,-8.384657162464817,0.0,1.0,3.202275e-09,-7.990159704203679,-0.3944974582611387
2024-12-15,2024-12-14,-8.014688118812776,0.0,1.0,3.6467685e-13,-8.065521318878128,0.05083320006535175
2024-12-16,2024-12-15,-7.236201991624658,0.0,1.0,2.2267943e-09,-8.006149391178234,0.7699473995535753
2024-12-17,2024-12-16,-7.292001310461847,0.0,0.9908646,0.009135422,-8.000290868882331,0.7082895584204838
2024-12-18,2024-12-17,-6.704567098310052,0.0,0.99766964,0.0023302974,-8.058196275539759,1.353629177229707
2024-12-19,2024-12-18,-6.459120288586987,1.0,3.161519e-05,0.9999684,-6.996783101193911,0.5376628126069241
2024-12-20,2024-12-19,-6.1361042206094965,1.0,5.011204e-13,1.0,-6.992541829147549,0.8564376085380525
2024-12-21,2024-12-20,-7.7744650577961645,1.0,2.10898e-07,0.99999976,-6.915297843338523,-0.8591672144576412
2024-12-22,2024-12-21,-7.173190406730881,1.0,3.4825234e-06,0.99999654,-7.01983785559309,-0.15335255113779134
2024-12-23,2024-12-22,-6.679392190342277,1.0,4.6163922e-15,1.0,-6.818905788353836,0.13951359801155938
2024-12-24,2024-12-23,-6.806880052770344,1.0,9.652668e-16,1.0,-6.837573832527763,0.030693779757418937
2024-12-25,2024-12-24,-8.388613500350928,1.0,9.0751763e-07,0.99999905,-6.8719692161510375,-1.5166442841998906
2024-12-26,2024-12-25,-7.291376464377446,1.0,0.0020168687,0.9979831,-6.957774667172756,-0.3336017972046905
2024-12-27,2024-12-26,-7.235484363898412,1.0,7.093108e-05,0.9999291,-6.782723106580036,-0.45276125731837613
2024-12-28,2024-12-27,-9.647303170681537,1.0,2.41292e-09,1.0,-6.9177541888367795,-2.729548981844758
2024-12-29,2024-12-28,-8.662492268950343,0.0,0.99997103,2.8937338e-05,-8.11983022767347,-0.5426620412768735
2024-12-30,2024-12-29,-6.575410065716856,1.0,1.204325e-06,0.9999988,-6.805964246384766,0.23055418066791056
2024-12-31,2024-12-30,-7.632818399836694,1.0,2.866166e-14,1.0,-6.792764935565402,-0.8400534642712918
2025-01-01,2024-12-31,-8.1728798995656,1.0,0.06952919,0.93047076,-7.148302255822246,-1.0245776437433545
2025-01-02,2025-01-01,-7.634987296790435,0.0,0.9992067,0.0007933632,-7.942560385342069,0.3075730885516341
2025-01-03,2025-01-02,-8.696539431723991,0.0,0.9613439,0.03865611,-7.854739265587616,-0.841800166136375
2025-01-04,2025-01-03,-9.171557411636146,0.0,1.0,3.1356533e-15,-8.10689030143402,-1.0646671102021248
2025-01-05,2025-01-04,-9.467809077681563,0.0,1.0,9.642342e-09,-8.081992210769513,-1.3858168669120499
