lookback,units,dropout,batch_size,garch_model,garch_p,garch_q,garch_o,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
20,32,0.0,32,GARCH,1,1,1,t,0.0008322791986847527,-6.426252407414865,523
20,32,0.0,32,GARCH,1,2,1,t,0.0008070268765215119,-6.465108046735116,523
20,32,0.0,32,GARCH,2,1,1,t,0.0008136913955804217,-6.465075069764929,523
20,32,0.0,32,GARCH,2,2,1,t,0.000811609954481553,-6.46222605313969,523
20,32,0.01,32,GARCH,1,1,1,t,0.0008419719266005918,-6.417304284134403,523
20,32,0.01,32,GARCH,1,2,1,t,0.0008067890184576674,-6.4715089544101785,523
20,32,0.01,32,GARCH,2,1,1,t,0.0008152068635920229,-6.45747188148824,523
20,32,0.01,32,GARCH,2,2,1,t,0.0008110209737751915,-6.461158180254702,523
20,32,0.1,32,GARCH,1,1,1,t,0.0008333739085507713,-6.424044837824319,523
20,32,0.1,32,GARCH,1,2,1,t,0.0008127955113242974,-6.458329170897987,523
20,32,0.1,32,GARCH,2,1,1,t,0.0008133269947396971,-6.461447678502548,523
20,32,0.1,32,GARCH,2,2,1,t,0.000809722604066094,-6.45868938389443,523
20,32,0.2,32,GARCH,1,1,1,t,0.0008266331948939303,-6.437959191438482,523
20,32,0.2,32,GARCH,1,2,1,t,0.0008091801155732291,-6.4633155479644016,523
20,32,0.2,32,GARCH,2,1,1,t,0.0008045206700143992,-6.475680059098054,523
20,32,0.2,32,GARCH,2,2,1,t,0.000810055169372673,-6.462560899301388,523
20,64,0.0,32,GARCH,1,1,1,t,0.0008391975225118068,-6.417644645723452,523
20,64,0.0,32,GARCH,1,2,1,t,0.0008084369634230664,-6.469733919661141,523
20,64,0.0,32,GARCH,2,1,1,t,0.0008131621693349792,-6.456893399491719,523
20,64,0.0,32,GARCH,2,2,1,t,0.000806964488427506,-6.465915777432856,523
20,64,0.01,32,GARCH,1,1,1,t,0.000845415822846698,-6.419195206650087,523
20,64,0.01,32,GARCH,1,2,1,t,0.0008165486801883081,-6.4515536664771576,523
20,64,0.01,32,GARCH,2,1,1,t,0.0008057927542471729,-6.4720001812256855,523
20,64,0.01,32,GARCH,2,2,1,t,0.0008090553223272659,-6.464170634958136,523
20,64,0.1,32,GARCH,1,1,1,t,0.0008357711234873341,-6.428872302492581,523
20,64,0.1,32,GARCH,1,2,1,t,0.0007937250117523686,-6.485882255597786,523
20,64,0.1,32,GARCH,2,1,1,t,0.0008135878177204778,-6.460594957841988,523
20,64,0.1,32,GARCH,2,2,1,t,0.0008039725863956607,-6.473902014823939,523
20,64,0.2,32,GARCH,1,1,1,t,0.0008447588510281809,-6.4171386415738665,523
20,64,0.2,32,GARCH,1,2,1,t,0.0008087687483028172,-6.461041718284529,523
20,64,0.2,32,GARCH,2,1,1,t,0.0008080145462461047,-6.468885455374189,523
20,64,0.2,32,GARCH,2,2,1,t,0.000799464608876355,-6.480963321606952,523
30,32,0.0,32,GARCH,1,1,1,t,0.0008438092787383867,-6.408363214775411,523
30,32,0.0,32,GARCH,1,2,1,t,0.0008151700643925997,-6.452876301030539,523
30,32,0.0,32,GARCH,2,1,1,t,0.000813769099926752,-6.464583251240345,523
30,32,0.0,32,GARCH,2,2,1,t,0.0008129142111767392,-6.458249323873815,523
30,32,0.01,32,GARCH,1,1,1,t,0.000834742328336213,-6.422184200012578,523
30,32,0.01,32,GARCH,1,2,1,t,0.0008098954963293457,-6.463242618574043,523
30,32,0.01,32,GARCH,2,1,1,t,0.0008148023960123846,-6.459235882420503,523
30,32,0.01,32,GARCH,2,2,1,t,0.000803241926992386,-6.4721964068384805,523
30,32,0.1,32,GARCH,1,1,1,t,0.0008320769662564482,-6.429308643819475,523
30,32,0.1,32,GARCH,1,2,1,t,0.0008122828957011016,-6.461622581851014,523
30,32,0.1,32,GARCH,2,1,1,t,0.0008179441852285665,-6.451787770450324,523
30,32,0.1,32,GARCH,2,2,1,t,0.000803569655247268,-6.4741021751852985,523
30,32,0.2,32,GARCH,1,1,1,t,0.0008467295085562527,-6.415934007857625,523
30,32,0.2,32,GARCH,1,2,1,t,0.0008153928302145976,-6.454835138693788,523
30,32,0.2,32,GARCH,2,1,1,t,0.0008176654483408793,-6.451000529981212,523
30,32,0.2,32,GARCH,2,2,1,t,0.0008116155765697752,-6.462815346915535,523
30,64,0.0,32,GARCH,1,1,1,t,0.0008421352497289447,-6.4137433796027565,523
30,64,0.0,32,GARCH,1,2,1,t,0.000804426582465291,-6.473491940098812,523
30,64,0.0,32,GARCH,2,1,1,t,0.0008289158849644502,-6.4370969832509015,523
30,64,0.0,32,GARCH,2,2,1,t,0.0008085824105129344,-6.462162505884309,523
30,64,0.01,32,GARCH,1,1,1,t,0.0008395854419094733,-6.418421487226123,523
30,64,0.01,32,GARCH,1,2,1,t,0.0008179605864137086,-6.455609329053124,523
30,64,0.01,32,GARCH,2,1,1,t,0.0008049448762124822,-6.4742044564279695,523
30,64,0.01,32,GARCH,2,2,1,t,0.0008032094864059801,-6.472346549074392,523
30,64,0.1,32,GARCH,1,1,1,t,0.0008606877181926123,-6.400628710769753,523
30,64,0.1,32,GARCH,1,2,1,t,0.0008180632245986451,-6.451862390731345,523
30,64,0.1,32,GARCH,2,1,1,t,0.0008126702349552561,-6.4584914852706685,523
30,64,0.1,32,GARCH,2,2,1,t,0.0008137363383727873,-6.458145752136085,523
30,64,0.2,32,GARCH,1,1,1,t,0.000815624382599304,-6.452280152468461,523
30,64,0.2,32,GARCH,1,2,1,t,0.0008113786554845574,-6.45854712585491,523
30,64,0.2,32,GARCH,2,1,1,t,0.0008091153665448166,-6.4651372847486615,523
30,64,0.2,32,GARCH,2,2,1,t,0.0008023091812803378,-6.476753172829727,523
60,32,0.0,32,GARCH,1,1,1,t,0.0008308103379501197,-6.430274534973137,523
60,32,0.0,32,GARCH,1,2,1,t,0.0008065027758317941,-6.467397478745442,523
60,32,0.0,32,GARCH,2,1,1,t,0.00082293450626737,-6.44298491334008,523
60,32,0.0,32,GARCH,2,2,1,t,0.0008085874124632295,-6.467496282782617,523
60,32,0.01,32,GARCH,1,1,1,t,0.000841636503753633,-6.419718295924079,523
60,32,0.01,32,GARCH,1,2,1,t,0.0008064483952703067,-6.467753278253305,523
60,32,0.01,32,GARCH,2,1,1,t,0.0008157839359989466,-6.454361789483133,523
60,32,0.01,32,GARCH,2,2,1,t,0.0008028114755035327,-6.476015743538326,523
60,32,0.1,32,GARCH,1,1,1,t,0.0008480557505662731,-6.4094681213258715,523
60,32,0.1,32,GARCH,1,2,1,t,0.0008065118247461653,-6.467163325896141,523
60,32,0.1,32,GARCH,2,1,1,t,0.000813724064505374,-6.456545163535224,523
60,32,0.1,32,GARCH,2,2,1,t,0.0008060994769095215,-6.471845703978476,523
60,32,0.2,32,GARCH,1,1,1,t,0.0008421443009982424,-6.4173028327246815,523
60,32,0.2,32,GARCH,1,2,1,t,0.0008138822296221485,-6.4571962183643965,523
60,32,0.2,32,GARCH,2,1,1,t,0.0008173573599933422,-6.456427159343294,523
60,32,0.2,32,GARCH,2,2,1,t,0.0008150816388998087,-6.457332362663513,523
60,64,0.0,32,GARCH,1,1,1,t,0.0008335964472541245,-6.4270756333847,523
60,64,0.0,32,GARCH,1,2,1,t,0.0008195969956053184,-6.448756832826528,523
60,64,0.0,32,GARCH,2,1,1,t,0.0008256942439688185,-6.443735509529438,523
60,64,0.0,32,GARCH,2,2,1,t,0.000806648180157453,-6.468689971325315,523
60,64,0.01,32,GARCH,1,1,1,t,0.0008278315327746973,-6.436056537020114,523
60,64,0.01,32,GARCH,1,2,1,t,0.0008121941404082609,-6.460569315690931,523
60,64,0.01,32,GARCH,2,1,1,t,0.0008147499466013865,-6.454508279274832,523
60,64,0.01,32,GARCH,2,2,1,t,0.0008117261910570427,-6.457937635163751,523
60,64,0.1,32,GARCH,1,1,1,t,0.0008280014638478917,-6.436773311772177,523
60,64,0.1,32,GARCH,1,2,1,t,0.0008010251906163362,-6.475704606199532,523
60,64,0.1,32,GARCH,2,1,1,t,0.0008176561768175858,-6.451965138581301,523
60,64,0.1,32,GARCH,2,2,1,t,0.0008079890796147616,-6.465647206559613,523
60,64,0.2,32,GARCH,1,1,1,t,0.0008419182811876795,-6.419802115889127,523
60,64,0.2,32,GARCH,1,2,1,t,0.0008144170038708692,-6.454610153330111,523
60,64,0.2,32,GARCH,2,1,1,t,0.0008062333917762703,-6.4725195295753615,523
60,64,0.2,32,GARCH,2,2,1,t,0.0008110097934784214,-6.46084241841236,523
