date,actual_var,pred_var,error,abs_error
2024-10-19,9.007708970117624e-05,0.0009476394330169259,-0.0008575623433157497,0.0008575623433157497
2024-10-20,0.0003807098196512,0.00027357713356403993,0.00010713268608716008,0.00010713268608716008
2024-10-21,0.0003202183796642,0.0004446006863549262,-0.00012438230669072618,0.00012438230669072618
2024-10-22,0.0002853518941425,0.002495247996004841,-0.002209896101862341,0.002209896101862341
2024-10-23,0.0003362436373331,0.0009570310485413358,-0.0006207874112082358,0.0006207874112082358
2024-10-24,0.0004624125902505,0.0008707141845064765,-0.0004083015942559765,0.0004083015942559765
2024-10-25,5.395507413713425e-05,0.0023076889110255623,-0.002253733836888428,0.002253733836888428
2024-10-26,9.351589785986804e-05,0.002809311653126749,-0.0027157957552668807,0.0027157957552668807
2024-10-27,0.000203741237231,0.0009656032832390278,-0.0007618620460080278,0.0007618620460080278
2024-10-28,0.0006113286588519,0.00124078198086224,-0.00062945332201034,0.00062945332201034
2024-10-29,0.0004490703118755,0.0039002897202081535,-0.0034512194083326534,0.0034512194083326534
2024-10-30,0.0004692765758508,0.007377170846824369,-0.0069078942709735695,0.0069078942709735695
2024-10-31,0.0012728905424024,0.0020283490830801517,-0.0007554585406777518,0.0007554585406777518
2024-11-01,5.1425859485689816e-05,0.0045487859145210635,-0.0044973600550353736,0.0044973600550353736
2024-11-02,0.0004690718226163,0.0016735127924025607,-0.0012044409697862606,0.0012044409697862606
2024-11-03,0.0006197879172519,0.000805262861942066,-0.00018547494469016597,0.00018547494469016597
2024-11-04,0.0009245661709718,0.0006718512424426737,0.00025271492852912633,0.00025271492852912633
2024-11-05,0.0022961907175242,0.0010443997775706985,0.0012517909399535013,0.0012517909399535013
2024-11-06,0.0005406276897262,2.80316884414431e-06,0.0005378245208820557,0.0005378245208820557
2024-11-07,0.0004090092129144,0.0225,-0.0220909907870856,0.0220909907870856
2024-11-08,5.556746247024783e-05,0.0225,-0.02244443253752975,0.02244443253752975
2024-11-09,0.0011861752654518,0.0225,-0.0213138247345482,0.0213138247345482
2024-11-10,0.0011878474704025,0.0225,-0.0213121525295975,0.0213121525295975
2024-11-11,0.0018856723654993,0.0225,-0.0206143276345007,0.0206143276345007
2024-11-12,0.0026910285951771,0.0225,-0.0198089714048229,0.0198089714048229
2024-11-13,0.0018751476501304,0.0225,-0.020624852349869598,0.020624852349869598
2024-11-14,0.0010538369270297,0.0225,-0.0214461630729703,0.0214461630729703
