date,actual_var,pred_var,error,abs_error
2024-10-18,4.724913163964731e-05,6.735799167104453e-05,-2.0108860031397218e-05,2.0108860031397218e-05
2024-10-19,9.007708970117624e-05,0.00037245376721285533,-0.0002823766775116791,0.0002823766775116791
2024-10-20,0.0003807098196512,0.0005271833653532638,-0.00014647354570206377,0.00014647354570206377
2024-10-21,0.0003202183796642,0.0007476867360297038,-0.00042746835636550375,0.00042746835636550375
2024-10-22,0.0002853518941425,0.00030165084056979805,-1.6298946427298062e-05,1.6298946427298062e-05
2024-10-23,0.0003362436373331,0.0004002238257900683,-6.398018845696829e-05,6.398018845696829e-05
2024-10-24,0.0004624125902505,0.00030249470451804194,0.00015991788573245806,0.00015991788573245806
2024-10-25,5.395507413713425e-05,0.00045496039383505644,-0.0004010053196979222,0.0004010053196979222
2024-10-26,9.351589785986804e-05,0.00010507708326274845,-1.1561185402880406e-05,1.1561185402880406e-05
2024-10-27,0.000203741237231,0.0002941678166222575,-9.042657939125752e-05,9.042657939125752e-05
2024-10-28,0.0006113286588519,0.00029255841926300225,0.0003187702395888977,0.0003187702395888977
2024-10-29,0.0004490703118755,0.0005468823920821422,-9.781208020664218e-05,9.781208020664218e-05
2024-10-30,0.0004692765758508,0.0003720277694458257,9.724880640497429e-05,9.724880640497429e-05
2024-10-31,0.0012728905424024,0.0006950169260435212,0.0005778736163588788,0.0005778736163588788
2024-11-01,5.1425859485689816e-05,0.0001384233920324132,-8.699753254672337e-05,8.699753254672337e-05
2024-11-02,0.0004690718226163,0.0001695496339902742,0.0002995221886260258,0.0002995221886260258
2024-11-03,0.0006197879172519,0.0005246811164152894,9.510680083661053e-05,9.510680083661053e-05
2024-11-04,0.0009245661709718,0.0006058332863708365,0.0003187328846009635,0.0003187328846009635
2024-11-05,0.0022961907175242,0.000459791816303258,0.0018363989012209418,0.0018363989012209418
2024-11-06,0.0005406276897262,0.00105254844858253,-0.00051192075885633,0.00051192075885633
2024-11-07,0.0004090092129144,0.0005809921091187087,-0.00017198289620430868,0.00017198289620430868
2024-11-08,5.556746247024783e-05,0.00038225276698212665,-0.00032668530451187883,0.00032668530451187883
2024-11-09,0.0011861752654518,0.00022397167178809385,0.0009622035936637061,0.0009622035936637061
2024-11-10,0.0011878474704025,0.0006865937108285799,0.0005012537595739202,0.0005012537595739202
2024-11-11,0.0018856723654993,0.0007506779685489281,0.001134994396950372,0.001134994396950372
2024-11-12,0.0026910285951771,0.0008260221679760152,0.001865006427201085,0.001865006427201085
2024-11-13,0.0018751476501304,0.0007134243842863664,0.0011617232658440336,0.0011617232658440336
2024-11-14,0.0010538369270297,0.0007584632388999594,0.0002953736881297406,0.0002953736881297406
2024-11-15,0.0002069103609886,0.0007100216816255958,-0.0005031113206369958,0.0005031113206369958
2024-11-16,0.0003401743262439,0.0004676996730649201,-0.00012752534682102011,0.00012752534682102011
2024-11-17,0.0018108955092859,0.0005843673406633163,0.0012265281686225837,0.0012265281686225837
2024-11-18,0.0007494338327651,0.0009494802998415822,-0.00020004646707648215,0.00020004646707648215
2024-11-19,0.0002867596986617,0.0010323620266277922,-0.0007456023279660922,0.0007456023279660922
2024-11-20,0.0008757431875342,0.0007086249588620952,0.00016711822867210475,0.00016711822867210475
2024-11-21,0.0005213721612308,0.0005410521584202526,-1.9679997189452634e-05,1.9679997189452634e-05
2024-11-22,0.0001341158894089,0.0004538343917055074,-0.0003197185022966074,0.0003197185022966074
2024-11-23,0.0005066121984415,0.0005364417201427675,-2.982952170126746e-05,2.982952170126746e-05
2024-11-24,0.0011937152937544,0.00040926591834991973,0.0007844493754044803,0.0007844493754044803
2024-11-25,0.0013381634156756,0.0005882126163498788,0.0007499507993257212,0.0007499507993257212
2024-11-26,0.0004596491926552,0.0006217621323908018,-0.00016211293973560174,0.00016211293973560174
2024-11-27,0.000292654180794,0.0005223522515109293,-0.0002296980707169293,0.0002296980707169293
2024-11-28,0.0004228997360536,0.0004055276650131751,1.737207104042488e-05,1.737207104042488e-05
2024-11-29,0.0001949572938221,0.0005859858426686503,-0.00039102854884655026,0.00039102854884655026
2024-11-30,0.0002145077360712,0.0003325425732701673,-0.00011803483719896731,0.00011803483719896731
2024-12-01,0.0010715852264698,0.0004948108245505004,0.0005767744019192997,0.0005767744019192997
2024-12-02,0.0007341792136382,0.0007824900616771638,-4.831084803896379e-05,4.831084803896379e-05
2024-12-03,0.0009238639048256,0.0004774055356052717,0.0004464583692203283,0.0004464583692203283
2024-12-04,0.0026647047448609,0.0006294203124521913,0.0020352844324087087,0.0020352844324087087
2024-12-05,0.0008671846140276,0.0009487149239318785,-8.153030990427847e-05,8.153030990427847e-05
2024-12-06,0.0001825876325193,0.0005432895324768756,-0.00036070189995757564,0.00036070189995757564
2024-12-07,0.0003120057625974,0.0005583083046629399,-0.0002463025420655399,0.0002463025420655399
2024-12-08,0.0014407611017577,0.00034741123082459197,0.001093349870933108,0.001093349870933108
2024-12-09,0.001420300407579,0.0009786659152776784,0.00044163449230132166,0.00044163449230132166
2024-12-10,0.0007174353873605,0.0006208141506270616,9.662123673343838e-05,9.662123673343838e-05
2024-12-11,0.0007754132835788,0.0006380586792164102,0.0001373546043623898,0.0001373546043623898
2024-12-12,0.0005319451946517,0.0007422500277773239,-0.00021030483312562396,0.00021030483312562396
2024-12-13,0.0002283440300656,0.000456756719106086,-0.00022841268904048599,0.00022841268904048599
2024-12-14,0.0003305713229384,0.0004002947500825884,-6.97234271441884e-05,6.97234271441884e-05
2024-12-15,0.0007200412963015,0.0005814504696598227,0.00013859082664167727,0.00013859082664167727
2024-12-16,0.0006809638680199,0.0008203997442758915,-0.00013943587625599152,0.00013943587625599152
2024-12-17,0.0012253030249004,0.0005468615641444162,0.0006784414607559837,0.0006784414607559837
2024-12-18,0.0015661728847088,0.0010806857555763169,0.0004854871291324831,0.0004854871291324831
2024-12-19,0.0021633350993166,0.000478545753153842,0.0016847893461627579,0.0016847893461627579
2024-12-20,0.0004203322626916,0.0003929992146726212,2.7333048018978812e-05,2.7333048018978812e-05
2024-12-21,0.0007668721899974,0.0005921689162128953,0.00017470327378450474,0.00017470327378450474
2024-12-22,0.0012565414785517,0.0005798091767392477,0.0006767323018124522,0.0006767323018124522
2024-12-23,0.0011061386160472,0.0005244649406619564,0.0005816736753852436,0.0005816736753852436
2024-12-24,0.0002274424086639,0.0006476765288713489,-0.00042023412020744883,0.00042023412020744883
2024-12-25,0.0006813894985894,0.0006231499718413433,5.823952674805671e-05,5.823952674805671e-05
2024-12-26,0.000720558203351,0.0007063347517456987,1.4223451605301389e-05,1.4223451605301389e-05
2024-12-27,6.459954628311742e-05,0.0006888204503125789,-0.0006242209040294615,0.0006242209040294615
2024-12-28,0.0001729527246119,0.0003332956097616363,-0.0001603428851497363,0.0001603428851497363
2024-12-29,0.0013942340735422,0.0005335143943587741,0.0008607196791834259,0.0008607196791834259
2024-12-30,0.0004842939989395,0.000811303522639307,-0.000327009523699807,0.000327009523699807
2024-12-31,0.0002822041255063,0.00048275913866384167,-0.00020055501315754167,0.00020055501315754167
2025-01-01,0.0004832447534245,0.0005816063273191353,-9.836157389463525e-05,9.836157389463525e-05
2025-01-02,0.0001671632911889,0.0002905297986665409,-0.00012336650747764093,0.00012336650747764093
2025-01-03,0.0001039544836706,0.0002025900299762824,-9.863554630568241e-05,9.863554630568241e-05
