date,forecast_origin_date,actual_log_var,pred_regime,pred_prob_0,pred_prob_1,log_var_svr,error
2024-10-20,2024-10-19,-9.31484470203024,0.0,1.0,0.0,-8.686590250397698,-0.6282544516325412
2024-10-21,2024-10-20,-7.873473101235765,0.0,1.0,0.0,-8.415026392858573,0.5415532916228081
2024-10-22,2024-10-21,-8.046507358473745,0.0,1.0,0.0,-8.45138850050019,0.4048811420264453
2024-10-23,2024-10-22,-8.161787423041437,0.0,1.0,0.0,-8.652407954208782,0.4906205311673446
2024-10-24,2024-10-23,-7.997674549656699,0.0,1.0,0.0,-8.579445947053273,0.5817713973965741
2024-10-25,2024-10-24,-7.679053012926394,1.0,0.0,1.0,-7.517422466175437,-0.16163054675095712
2024-10-26,2024-10-25,-9.827358818094583,0.0,1.0,0.0,-8.603068778799022,-1.2242900392955605
2024-10-27,2024-10-26,-9.27737910553637,0.0,1.0,0.0,-8.73422952533701,-0.5431495801993602
2024-10-28,2024-10-27,-8.498659814223364,0.0,1.0,0.0,-8.413219595430052,-0.08544021879331254
2024-10-29,2024-10-28,-7.399875840216145,1.0,0.0,1.0,-7.424662364193674,0.024786523977528674
2024-10-30,2024-10-29,-7.708331085877311,1.0,0.0,1.0,-7.4360602628217585,-0.2722708230555524
2024-10-31,2024-10-30,-7.664318249363356,1.0,0.0,1.0,-7.626683944071785,-0.0376343052915713
2024-11-01,2024-10-31,-6.666464947076679,1.0,0.0,1.0,-7.574469783510743,0.9080048364340643
2024-11-02,2024-11-01,-9.875369409182522,0.0,1.0,0.0,-8.654162149147066,-1.221207260035456
2024-11-03,2024-11-02,-7.66475466133589,1.0,0.0,1.0,-7.835846854378131,0.17109219304224066
2024-11-04,2024-11-03,-7.386133207392613,1.0,0.0,1.0,-7.278692944229233,-0.1074402631633804
2024-11-05,2024-11-04,-6.986185934823602,1.0,0.0,1.0,-7.59823575227616,0.6120498174525579
2024-11-06,2024-11-05,-6.076503738850753,1.0,0.0,1.0,-7.598847463405553,1.5223437245548004
2024-11-07,2024-11-06,-7.522779705074414,1.0,0.0,1.0,-7.591003002505442,0.06822329743102795
2024-11-08,2024-11-07,-7.801772876712086,1.0,0.0,1.0,-7.70072821359326,-0.10104466311882554
2024-11-09,2024-11-08,-9.797912735378048,0.0,1.0,0.0,-8.611166977540341,-1.1867457578377074
2024-11-10,2024-11-09,-6.737021210697639,1.0,0.0,1.0,-7.545205086636742,0.8081838759391031
2024-11-11,2024-11-10,-6.735612458201719,1.0,0.0,1.0,-7.165847355274238,0.43023489707251894
2024-11-12,2024-11-11,-6.273470829109263,1.0,0.0,1.0,-7.6214209838779094,1.3479501547686468
2024-11-13,2024-11-12,-5.917831781066736,1.0,0.0,1.0,-7.509151118192093,1.5913193371253564
2024-11-14,2024-11-13,-6.279067875923911,1.0,0.0,1.0,-7.527487340992035,1.2484194650681246
2024-11-15,2024-11-14,-6.8553175590212,1.0,0.0,1.0,-7.514707396663521,0.6593898376423208
2024-11-16,2024-11-15,-8.483224897189656,0.0,1.0,0.0,-8.5102578602176,0.02703296302794378
2024-11-17,2024-11-16,-7.986052347505467,0.0,1.0,0.0,-8.46159438337582,0.4755420358703528
2024-11-18,2024-11-17,-6.313933799544504,1.0,0.0,1.0,-7.1525299494421475,0.8385961498976435
2024-11-19,2024-11-18,-7.196192526153115,1.0,0.0,1.0,-7.091114574179125,-0.10507795197398995
2024-11-20,2024-11-19,-8.156865979818138,0.0,1.0,0.0,-8.43375124181587,0.276885261997732
2024-11-21,2024-11-20,-7.040437674924414,1.0,0.0,1.0,-7.147609780356336,0.10717210543192213
2024-11-22,2024-11-21,-7.559046450236287,1.0,0.0,1.0,-7.010558763770425,-0.5484876864658617
2024-11-23,2024-11-22,-8.916806285442396,0.0,1.0,0.0,-8.273277782803246,-0.6435285026391497
2024-11-24,2024-11-23,-7.587764741646918,0.0,1.0,0.0,-8.1975838945793,0.6098191529323813
2024-11-25,2024-11-24,-6.730684739886714,1.0,0.0,1.0,-6.9787611445736175,0.24807640468690373
2024-11-26,2024-11-25,-6.616457190447188,1.0,0.0,1.0,-7.055940009072806,0.4394828186256179
2024-11-27,2024-11-26,-7.685046984089861,1.0,0.0,1.0,-6.991060527683245,-0.6939864564066163
2024-11-28,2024-11-27,-8.136518916342414,0.0,1.0,0.0,-8.091768513282553,-0.044750403059861554
2024-11-29,2024-11-28,-7.768375437620337,0.0,1.0,0.0,-8.036691780998783,0.2683163433784461
2024-11-30,2024-11-29,-8.542730029426364,0.0,1.0,0.0,-8.001326071390213,-0.5414039580361507
2024-12-01,2024-11-30,-8.44716475464655,0.0,1.0,0.0,-8.093840919907581,-0.3533238347389691
2024-12-02,2024-12-01,-6.838616206811213,1.0,0.0,1.0,-6.941381657686229,0.1027654508750162
2024-12-03,2024-12-02,-7.216757398881999,1.0,0.0,1.0,-6.837487492205038,-0.3792699066769609
2024-12-04,2024-12-03,-6.986945786320486,1.0,0.0,1.0,-6.995301463925976,0.008355677605490719
2024-12-05,2024-12-04,-5.927662017422849,1.0,0.0,1.0,-6.899060660521241,0.9713986430983921
2024-12-06,2024-12-05,-7.050258669563131,1.0,0.0,1.0,-6.886042814823,-0.16421585474013067
2024-12-07,2024-12-06,-8.608280322002438,0.0,1.0,0.0,-8.164604982893241,-0.44367533910919654
2024-12-08,2024-12-07,-8.072488900461895,0.0,1.0,0.0,-8.07025300644761,-0.0022358940142854777
2024-12-09,2024-12-08,-6.54258376213653,1.0,0.0,1.0,-6.830015388714516,0.2874316265779857
2024-12-10,2024-12-09,-6.556886875110395,1.0,0.0,1.0,-6.815113713967175,0.2582268388567801
2024-12-11,2024-12-10,-7.239827666844698,1.0,0.0,1.0,-6.930134635665996,-0.3096930311787016
2024-12-12,2024-12-11,-7.1621144016144465,1.0,0.0,1.0,-6.9046745381535635,-0.257439863460883
2024-12-13,2024-12-12,-7.538970091501297,1.0,0.0,1.0,-6.873489425718472,-0.6654806657828249
2024-12-14,2024-12-13,-8.384657162464817,0.0,1.0,0.0,-8.083922584734111,-0.3007345777307062
2024-12-15,2024-12-14,-8.014688118812776,0.0,1.0,0.0,-8.11708118560599,0.1023930667932138
2024-12-16,2024-12-15,-7.236201991624658,0.0,1.0,0.0,-8.069677024972837,0.8334750333481784
2024-12-17,2024-12-16,-7.292001310461847,0.0,1.0,0.0,-8.088417458794847,0.7964161483329999
2024-12-18,2024-12-17,-6.704567098310052,1.0,0.0,1.0,-7.015798558389233,0.31123146007918123
