date,forecast_origin_date,actual_log_var,pred_regime,pred_prob_0,pred_prob_1,log_var_svr,error
2024-10-20,2024-10-19,-9.31484470203024,0.0,0.9584990545670484,0.041500945432952005,-8.268256244588077,-1.0465884574421622
2024-10-21,2024-10-20,-7.873473101235765,0.0,0.9181237884669011,0.0818762115330997,-7.689173660595087,-0.18429944064067794
2024-10-22,2024-10-21,-8.046507358473745,0.0,0.6072162018965195,0.3927837981034808,-7.315374833075895,-0.7311325253978502
2024-10-23,2024-10-22,-8.161787423041437,0.0,0.6219298063471478,0.37807019365285244,-7.42090714835534,-0.7408802746860967
2024-10-24,2024-10-23,-7.997674549656699,1.0,0.4570484617306716,0.542951538269328,-7.865791030802059,-0.13188351885463945
2024-10-25,2024-10-24,-7.679053012926394,1.0,0.4860133982978307,0.5139866017021695,-7.7156277105999544,0.036574697673560586
2024-10-26,2024-10-25,-9.827358818094583,1.0,0.46738252415158327,0.5326174758484169,-7.503255626257784,-2.324103191836799
2024-10-27,2024-10-26,-9.27737910553637,0.0,0.9532494172435049,0.0467505827564958,-8.213534049111008,-1.0638450564253628
2024-10-28,2024-10-27,-8.498659814223364,0.0,0.9227563717152893,0.0772436282847114,-7.732619808695755,-0.7660400055276089
2024-10-29,2024-10-28,-7.399875840216145,0.0,0.5250534070836178,0.4749465929163826,-8.033831233883745,0.6339553936676001
2024-10-30,2024-10-29,-7.708331085877311,1.0,0.3096617925498881,0.6903382074501124,-7.542547071691723,-0.1657840141855882
2024-10-31,2024-10-30,-7.664318249363356,1.0,0.3553629749308417,0.6446370250691582,-7.76867441621737,0.10435616685401339
2024-11-01,2024-10-31,-6.666464947076679,1.0,0.33950507040698397,0.6604949295930166,-7.747258606099102,1.0807936590224232
2024-11-02,2024-11-01,-9.875369409182522,1.0,0.29577293200556104,0.7042270679944399,-7.075796101635826,-2.7995733075466953
2024-11-03,2024-11-02,-7.66475466133589,0.0,0.8673971540110906,0.13260284598891017,-8.469306589280016,0.804551927944126
2024-11-04,2024-11-03,-7.386133207392613,0.0,0.7693510877709959,0.23064891222900458,-6.741462197524927,-0.644671009867686
2024-11-05,2024-11-04,-6.986185934823602,1.0,0.49133676891809347,0.5086632310819066,-7.296957913186123,0.3107719783625207
2024-11-06,2024-11-05,-6.076503738850753,1.0,0.3255706610501045,0.6744293389498945,-7.196340025408785,1.1198362865580318
2024-11-07,2024-11-06,-7.522779705074414,1.0,0.14609223988233652,0.8539077601176642,-6.9149719752157,-0.6078077298587141
2024-11-08,2024-11-07,-7.801772876712086,1.0,0.3301153430436841,0.6698846569563158,-7.73243387058013,-0.06933900613195565
2024-11-09,2024-11-08,-9.797912735378048,1.0,0.3110164836351685,0.6889835163648319,-7.9286365487870825,-1.869276186590966
2024-11-10,2024-11-09,-6.737021210697639,0.0,0.8967896881091457,0.10321031189085463,-8.335156094166551,1.5981348834689122
2024-11-11,2024-11-10,-6.735612458201719,1.0,0.23827455049486054,0.7617254495051408,-7.146888354548625,0.41127589634690587
2024-11-12,2024-11-11,-6.273470829109263,1.0,0.16324041495114064,0.8367595850488605,-7.468646118535199,1.1951752894259364
2024-11-13,2024-11-12,-5.917831781066736,1.0,0.1498711162048561,0.850128883795145,-6.961181042771186,1.0433492617044502
2024-11-14,2024-11-13,-6.279067875923911,1.0,0.17345946660554787,0.8265405333944532,-6.763373738383734,0.48430586245982354
2024-11-15,2024-11-14,-6.8553175590212,1.0,0.1722361635417364,0.8277638364582657,-7.015574064556149,0.16025650553494852
2024-11-16,2024-11-15,-8.483224897189656,1.0,0.157896978907234,0.8421030210927661,-7.4580839353711745,-1.0251409618184812
2024-11-17,2024-11-16,-7.986052347505467,0.0,0.8713778256512036,0.12862217434879802,-7.272428271182378,-0.7136240763230894
2024-11-18,2024-11-17,-6.313933799544504,0.0,0.7866527974877655,0.21334720251223652,-7.020661617367293,0.7067278178227889
