date,forecast_origin_date,actual_target,pred_target,actual_var,pred_var,qlike,error_sq
2024-10-20,2024-10-19,-9.31484470203024,-8.260009985033467,9.007708970117621e-05,0.0002586564085162739,0.4030849513245438,2.8418986732162343e-08
2024-10-21,2024-10-20,-7.873473101235765,-7.781435092289935,0.0003807098196512,0.0004174127188022156,0.004108512059931568,1.3471028060896202e-09
2024-10-22,2024-10-21,-8.046507358473745,-7.586042524044121,0.0003202183796641998,0.0005074854466333114,0.09145517846711959,3.5068954371213724e-08
2024-10-23,2024-10-22,-8.161787423041437,-7.576795336522799,0.0002853518941424999,0.0005122000244196736,0.14210244346323186,5.146007421024959e-08
2024-10-24,2024-10-23,-7.997674549656699,-7.571326354820737,0.0003362436373331001,0.0005150089108541871,0.07923723220526968,3.1957023017069034e-08
2024-10-25,2024-10-24,-7.679053012926394,-7.5588481212439405,0.00046241259025049994,0.0005214755747007798,0.00694364611398024,3.488436132173998e-09
2024-10-26,2024-10-25,-9.827358818094583,-7.6082767264025355,5.395507413713421e-05,0.000496326428166619,1.3277911190665246,1.9569241486587974e-07
2024-10-27,2024-10-26,-9.27737910553637,-8.505417216961455,9.351589785986805e-05,0.00020236911684290602,0.234067733123827,1.1849023282969218e-08
2024-10-28,2024-10-27,-8.498659814223364,-7.917664831140086,0.0002037412372309999,0.0003642519238821081,0.14033665827725206,2.5763680529210236e-08
2024-10-29,2024-10-28,-7.399875840216145,-7.965660363042589,0.0006113286588518999,0.00034718236690121977,0.1950439092897711,6.977326355129392e-08
2024-10-30,2024-10-29,-7.708331085877311,-7.270993432566387,0.0004490703118755001,0.0006954207968210687,0.08309105808825068,6.068856143291684e-08
2024-10-31,2024-10-30,-7.664318249363356,-7.5234839439336545,0.0004692765758507998,0.0005402470927300405,0.009467557329457366,5.036814266106596e-09
2024-11-01,2024-10-31,-6.666464947076679,-6.949898025055669,0.0012728905424023997,0.0009587329154449917,0.044246914152707095,9.869501457550993e-08
