,realized_variance,realized_volatility
2016-02-01,0.00042368131284798284,0.02058352041920873
2016-02-02,7.481514461888536e-05,0.008649574823012133
2016-02-03,0.0001051902693416311,0.010256230757038918
2016-02-04,0.0009883328671451111,0.03143776180241067
2016-02-05,0.000220658731450887,0.01485458620934582
2016-02-06,0.0004813390934061231,0.02193944150169104
2016-02-07,0.0002028022912351516,0.0142408669411364
2016-02-08,0.00011236053482500621,0.010600025227564612
2016-02-09,7.449363936648515e-05,0.008630969781344687
2016-02-10,0.0003477018930676352,0.018646766289832542
2016-02-11,0.0005423265979816552,0.023287906689560038
2016-02-12,8.935562405655356e-05,0.009452810378747347
2016-02-13,0.0002000336295944641,0.014143324559468474
2016-02-14,0.0003944555750439911,0.019860905695460895
2016-02-15,0.0005950696693781119,0.024394049876519313
2016-02-16,0.00016753479358171095,0.012943523229079127
2016-02-17,0.00034756176144854487,0.018643008379779936
2016-02-18,0.0004200622153367029,0.02049541937450178
2016-02-19,9.046299686970929e-05,0.009511203755030657
2016-02-20,0.0005595619996176079,0.02365506287494514
2016-02-21,0.0019253875414259106,0.043879238159132965
2016-02-22,0.00017200975379740886,0.013115248903372321
2016-02-23,0.0009029120008983067,0.03004849415358957
2016-02-24,0.0009511358053951541,0.03084048970744716
2016-02-25,0.0002502105205401702,0.015818044143956933
2016-02-26,0.00022462602793173517,0.014987529080263204
2016-02-27,0.00015260192062003245,0.012353214991249544
2016-02-28,0.0006375369346805369,0.025249493750975224
2016-02-29,0.0003914515956390678,0.019785135724555133
2016-03-01,0.00021892072440498256,0.014795969870372896
2016-03-02,0.0003507489505628192,0.018728292782921225
2016-03-03,0.0007699287097688914,0.027747589260490566
2016-03-04,0.00034043015619150577,0.018450749475062138
2016-03-05,0.003633567864871357,0.06027908314557677
2016-03-06,0.0005763953360487928,0.024008234754950078
2016-03-07,0.0003046345071997469,0.017453782031403593
2016-03-08,0.00013679261736384806,0.011695837608476277
2016-03-09,0.00010060062754066327,0.010029986417770628
2016-03-10,7.344262426034332e-05,0.008569867225362557
2016-03-11,9.653309961517577e-05,0.009825125933807454
2016-03-12,0.0002677716648613321,0.01636373016342338
2016-03-13,8.336006195460249e-05,0.009130173161260552
2016-03-14,8.008165783205561e-05,0.008948835557325636
2016-03-15,0.00012955825716999536,0.011382366062027497
2016-03-16,5.2648956783016484e-05,0.007255960086922783
2016-03-17,1.6543058668179958e-05,0.004067315904645219
2016-03-18,0.0002512487690991403,0.015850828656544753
2016-03-19,0.00016739922749915123,0.012938285338450038
2016-03-20,9.390387474589985e-05,0.009690401165374932
2016-03-21,9.784189455738315e-05,0.009891506182446793
2016-03-22,0.00011185624795554104,0.010576211417872707
2016-03-23,4.958554895070923e-05,0.0070417007143664685
2016-03-24,7.201131627991141e-05,0.00848594816622818
2016-03-25,6.68222106389126e-05,0.00817448534397809
2016-03-26,2.6898883033749246e-05,0.005186413311118701
2016-03-27,0.00036323859064852547,0.019058819235422887
2016-03-28,0.00010448570410949677,0.010221824891353636
2016-03-29,0.00026338455383722887,0.016229126712094796
2016-03-30,0.0001196849580399037,0.010940062067461212
2016-03-31,8.260005794748088e-05,0.00908845740197317
2016-04-01,3.198172314455375e-05,0.0056552385577050375
2016-04-02,5.138178097900494e-05,0.00716810860541363
2016-04-03,2.9184709619774228e-05,0.0054022874432756935
2016-04-04,2.5985679328009555e-05,0.005097615062753322
2016-04-05,5.868345166525921e-05,0.007660512493642916
2016-04-06,1.998750948365007e-05,0.004470739254715049
2016-04-07,4.273885254083599e-05,0.00653749589222326
2016-04-08,0.00015093529085774755,0.01228557246764462
2016-04-09,5.387763499033543e-05,0.007340138622010856
2016-04-10,3.381606710549137e-05,0.005815158390404459
2016-04-11,6.464678441947259e-05,0.008040322407681958
2016-04-12,0.00015585893113446075,0.012484347445279658
2016-04-13,8.20576627366188e-05,0.009058568470603885
2016-04-14,4.375306902187119e-05,0.006614610269839879
2016-04-15,7.123853195238843e-05,0.008440292172217052
2016-04-16,5.491690270104311e-05,0.00741059395062522
2016-04-17,0.00010168454739700734,0.010083875613919846
2016-04-18,9.737824495158174e-05,0.009868041596567262
2016-04-19,9.92701079296037e-05,0.009963438559533737
2016-04-20,9.370967935379867e-05,0.009680375992377501
2016-04-21,0.00019648705104869868,0.014017383887469826
2016-04-22,0.00013831759925543732,0.011760850277740863
2016-04-23,0.0001077909732851343,0.01038224317212491
2016-04-24,0.00042958430876067745,0.020726415723918052
2016-04-25,0.0003322789788297373,0.018228521026943938
2016-04-26,0.0001122496051402425,0.010594791415608071
2016-04-27,0.0008295304300284244,0.028801569922982054
2016-04-28,0.0006074091235694542,0.024645671497637352
2016-04-29,0.0001621456576220279,0.012733642747541957
2016-04-30,0.0002083142496894734,0.014433095637785866
2016-05-01,6.900220155989852e-05,0.008306756380194288
2016-05-02,0.0006586666675181685,0.025664502089815973
2016-05-03,0.00012943176138444134,0.011376808049028573
2016-05-04,8.68928326381746e-05,0.009321632509285839
2016-05-05,7.785721741538864e-05,0.008823673691574765
2016-05-06,0.00015374543614872862,0.0123994127340261
2016-05-07,6.172114537203941e-05,0.007856280632210092
2016-05-08,6.27261798754448e-05,0.007919986103235585
2016-05-09,0.00013488141831828035,0.011613845974451373
2016-05-10,0.0003042937485625767,0.017444017557964583
2016-05-11,0.0001949358381577753,0.013961942492281484
2016-05-12,0.00025793350342330436,0.016060308322797055
2016-05-13,4.24313114099242e-05,0.0065139321004999895
2016-05-14,5.007036740358485e-05,0.007076041789276322
2016-05-15,4.2139777038685834e-05,0.006491515773583688
2016-05-16,0.00015587837280712705,0.012485126062924918
2016-05-17,3.872315362544143e-05,0.0062227930726837955
2016-05-18,4.4551441946570724e-05,0.0066746866553098
2016-05-19,0.0004780868825762257,0.021865197977064505
2016-05-20,0.00019401597025068458,0.013928961563974702
2016-05-21,4.779704757021149e-05,0.006913540885118963
2016-05-22,7.287632581874855e-05,0.008536763193315635
2016-05-23,5.4637379652412486e-05,0.007391710198080853
2016-05-24,4.405354395924984e-05,0.006637284381375401
2016-05-25,5.381443186311403e-05,0.007335832049816437
2016-05-26,5.34031059529646e-05,0.007307742876768763
2016-05-27,0.0005570534731895599,0.02360198028110268
2016-05-28,0.003973786759933524,0.06303797871072267
2016-05-29,0.0020694889045636865,0.04549163554505033
2016-05-30,0.0008113908325697262,0.028484922899136067
2016-05-31,0.0011583734463937372,0.03403488572617421
2016-06-01,0.0002979101436125422,0.01726007368502644
2016-06-02,0.00023339000051289798,0.015277107072770616
2016-06-03,0.0012288452482872366,0.035054889078233245
2016-06-04,0.0013272212171732834,0.036431047434479336
2016-06-05,0.00038054101923632827,0.01950746060450535
2016-06-06,0.00015022907421548027,0.012256797061854303
2016-06-07,0.0007189686031541107,0.02681358989680626
2016-06-08,0.0002215424431797681,0.014884301904347684
2016-06-09,0.00013168977683724402,0.011475616621221015
2016-06-10,9.074074126011774e-05,0.009525793471418418
2016-06-11,0.001314444494049771,0.036255268500588585
2016-06-12,0.002764732790465102,0.05258072641629347
2016-06-13,0.0034101584402759237,0.058396561887459814
2016-06-14,0.002560994251496798,0.05060626691919488
2016-06-15,0.0005278071224281639,0.022974053243347458
2016-06-16,0.0016405326612021463,0.040503489494142925
2016-06-17,0.0037301632228202825,0.061075062200707436
2016-06-18,0.0017101768169880502,0.04135428414309756
2016-06-19,0.0005863203729594129,0.024214053212120702
2016-06-20,0.0025274594863212993,0.05027384495263217
