date,n-transactions,transaction-fees-usd,n-unique-addresses,mempool-count,estimated-transaction-volume-usd,median-confirmation-time,hash-rate,difficulty,blockchain_log_n_transactions,blockchain_log_transaction_fee_usd,blockchain_log_n_unique_addresses,blockchain_log_mempool_count,blockchain_log_transaction_volume+usd,blockchain_diff_log_n_transactions,blockchain_diff_log_transaction_fee_usd,blockchain_diff_log_n_unique_addresses,blockchain_diff_log_transaction_volume_usd
2016-01-31,176045.0,13503.9451712909,402413.0,,103665933.111343,6.81666666666667,1068073.26136895,120033340651.237,12.078494923157445,9.510811206336275,12.905234203408856,,18.456684105353993,,,,
2016-02-01,222398.0,21477.2027993069,410364.0,,186838351.300254,8.55,1050172.592184,120033340651.237,12.312223848512373,9.974793876561261,12.924799849692889,,19.045754369433013,0.23372892535492795,0.4639826702249863,0.019565646284032567,0.5890702640790195
2016-02-02,241722.0,23939.1551474276,488072.0,,168139461.177804,8.66666666666667,978569.91544418,120033340651.237,12.39554358447734,10.083312459768809,13.098218214935791,,18.940304319061816,0.08331973596496667,0.10851858320754815,0.17341836524290244,-0.10545005037119637
2016-02-03,191224.0,17911.2806506241,368096.0,,115764017.96601,7.48333333333333,1038238.81272736,120033340651.237,12.161200794734636,9.79324182645777,12.816099052695737,,18.567064349135816,-0.23434278974270306,-0.2900706333110392,-0.28211916224005407,-0.3732399699260007
2016-02-04,200661.0,15305.1264824053,392766.0,,145850811.16086,6.88333333333333,1103874.59973886,120033340651.237,12.209372196021457,9.636008450918979,12.880969293671278,,18.798094815872822,0.048171401286820625,-0.1572333755387909,0.06487024097554084,0.2310304667370069
2016-02-05,225488.0,17449.1876624859,419711.0,,171663926.780691,6.16666666666667,1074040.15109727,120033340651.237,12.326022221431293,9.767105681869932,12.947321658175273,,18.9610492093317,0.11665002540983593,0.13109723095095305,0.06635236450399518,0.16295439345887885
2016-02-06,224156.0,15439.0388161774,419675.0,,116944573.366285,6.51666666666667,1139675.93810877,120033340651.237,12.320097517014762,9.644719337576735,12.947235881190615,,18.577210648603522,-0.005924704416530702,-0.12238634429319717,-8.577698465828121e-05,-0.38383856072817935
2016-02-07,212190.0,15229.6520759672,458609.0,,104688595.675426,6.83333333333333,1303860.28146122,144116447847.349,12.265237378698146,9.6310652602036,13.03595327415886,,18.466500746082215,-0.054860138316616514,-0.013654077373134399,0.08871739296824543,-0.11070990252130741
2016-02-08,224755.0,16061.9058567283,396885.0,,106671049.115269,7.73333333333333,1153414.86436954,144116447847.349,12.322766199027452,9.684267908663314,12.89140184516205,,18.485260349701598,0.057528820329306285,0.05320264845971323,-0.1445514289968095,0.018759603619383114
2016-02-09,231240.0,15967.1239870986,425454.0,,124816846.664347,8.31666666666667,1210727.40421399,144116447847.349,12.351211411196413,9.678349763244208,12.960912113043355,,18.642357994087018,0.02844521216896112,-0.005918145419105514,0.06951026788130399,0.15709764438541995
2016-02-10,235527.0,17340.7862322706,417816.0,,141763179.891342,7.26666666666667,1210727.40421399,144116447847.349,12.369580835548366,9.760874257270808,12.942796423206664,,18.76966847608288,0.018369424351952546,0.08252449402660034,-0.018115689836690763,0.12731048199586326
2016-02-11,220934.0,17530.2906495896,417748.0,,136052672.49113,5.98333333333333,1375500.95626678,144116447847.349,12.30561929336339,9.771742600395587,12.942633658893817,,18.728552666448817,-0.06396154218497507,0.01086834312477869,-0.00016276431284723003,-0.04111580963406425
2016-02-12,202527.0,15161.9176790495,399936.0,,124601290.486344,7.1,1139086.72940843,144116447847.349,12.218628489973966,9.626608099718702,12.899059813288753,,18.640629521297253,-0.08699080338942444,-0.14513450067688538,-0.04357384560506361,-0.08792314515156363
2016-02-13,184675.0,14543.1228248229,381881.0,,114896714.229553,7.65,1096102.32452509,144116447847.349,12.126352802396939,9.58494226143268,12.852864320732193,,18.55954414562639,-0.0922756875770272,-0.041665838286021994,-0.04619549255655997,-0.08108537567086316
2016-02-14,186088.0,14731.3770200164,421715.0,,125203393.715753,6.21666666666667,1289532.14650011,144116447847.349,12.133974959089743,9.597802869147372,12.95208500941269,,18.645450122618755,0.007622156692804083,0.012860607714692662,0.0992206886804965,0.08590597699236469
